"","Start_time","End_time","Finished","Screening","Condition","Intro","Consent","Reason_nc","Check_phd","Check_work_status","ob1","ob2","ob3","ra1","ra2","ra3","op1","op2","op3","iq1","iq2","iq3","in1","in2","in3","co1","co2","co3","Country","Year_born","Year_phd","Gender","Tenure","Feedback","Target"
"25","5/14/2014 10:59","5/14/2014 11:02","1","","Male","1","1","","1","1",5,7,6,7,7,6,5,6,5,6,7,7,7,6,5,5,5,2,"122","47","76","1","4","","Male Scientists"
"26","5/14/2014 10:57","5/14/2014 11:02","1","","Male","1","1","","1","1",5,5,6,6,5,6,6,2,2,3,5,3,6,5,6,2,6,3,"36","59","91","2","4","","Male Scientists"
"27","5/14/2014 10:59","5/14/2014 11:03","1","","Female","1","1","","1","1",3,3,3,4,4,4,2,3,4,4,4,4,4,4,5,4,3,3,"138","51","75","1","4","","Female Scientists"
"28","5/14/2014 10:58","5/14/2014 11:03","1","","Female","1","1","","1","1",2,5,2,3,4,2,4,4,4,3,4,5,4,2,2,2,5,2,"122","53","81","1","4","","Female Scientists"
"29","5/14/2014 11:00","5/14/2014 11:07","1","","Male","1","1","","1","1",4,5,5,5,5,4,4,3,4,3,3,2,5,3,3,4,3,2,"82","59","91","1","5","","Male Scientists"
"30","5/14/2014 10:59","5/14/2014 11:09","1","","Female","1","1","","1","1",4,3,3,3,3,3,2,5,4,3,5,5,6,4,4,3,4,2,"122","56","85","1","4","","Female Scientists"
"31","5/14/2014 10:52","5/14/2014 11:09","1","","Female","1","1","","1","1",6,4,4,4,6,4,5,3,2,2,6,4,4,2,1,4,2,1,"60","58","86","1","4","","Female Scientists"
"32","5/14/2014 11:02","5/14/2014 11:15","1","","Male","1","1","","1","1",4,5,4,5,5,6,7,4,4,5,6,4,6,5,3,5,5,2,"36","50","82","1","4","","Male Scientists"
"33","5/14/2014 11:12","5/14/2014 11:18","1","","Female","1","1","","1","1",6,5,3,6,6,6,4,6,6,4,7,4,6,2,2,3,2,1,"122","47","79","1","4","","Female Scientists"
"34","5/14/2014 11:16","5/14/2014 11:19","1","","Male","1","1","","1","1",4,4,4,4,4,4,4,4,4,3,4,3,4,4,4,4,4,3,"86","54","86","1","4","","Male Scientists"
"36","5/14/2014 11:24","5/14/2014 11:30","1","","Female","1","1","","1","1",2,2,5,4,7,4,2,3,4,3,5,4,4,2,2,4,1,2,"84","62","86","1","4","","Female Scientists"
"37","5/14/2014 11:36","5/14/2014 11:41","1","","Female","1","1","","2","",4,4,4,6,6,6,5,4,5,5,5,6,5,4,4,4,5,3,"9","64","95","2","5","","Female Scientists"
"38","5/14/2014 11:37","5/14/2014 11:42","1","","Male","1","1","","1","1",2,3,3,5,5,4,6,5,5,2,5,4,4,4,6,2,3,2,"9","51","83","1","4","","Male Scientists"
"39","5/14/2014 11:44","5/14/2014 11:48","1","","Male","1","1","","1","1",5,6,6,6,6,6,5,5,6,5,5,5,6,5,7,5,3,3,"9","31","81","2","5","","Male Scientists"
"40","5/14/2014 11:59","5/14/2014 12:05","1","","Female","1","1","","1","1",4,4,4,6,6,4,6,6,6,5,7,7,4,4,4,4,4,2,"67","61","90","2","4","","Female Scientists"
"41","5/14/2014 12:12","5/14/2014 12:18","1","","Male","1","1","","1","1",5,6,2,6,6,6,4,6,6,4,2,2,6,6,6,4,3,2,"163","61","91","1","4","","Male Scientists"
"42","5/14/2014 12:08","5/14/2014 12:21","1","","Male","1","1","","1","1",7,7,6,4,4,6,4,6,6,3,4,5,7,6,7,4,3,2,"48","46","71","2","5","","Male Scientists"
"43","5/14/2014 12:04","5/14/2014 12:35","1","","Female","1","1","","1","1",4,2,3,4,4,6,3,4,5,6,6,4,6,3,4,4,3,2,"67","55","84","1","4","","Female Scientists"
"44","5/14/2014 12:38","5/14/2014 12:41","1","","Male","1","1","","1","1",5,6,3,7,5,6,2,6,7,5,6,6,5,5,6,5,4,3,"187","36","68","1","4","","Male Scientists"
"45","5/14/2014 12:43","5/14/2014 12:45","1","","Female","1","1","","1","1",4,2,4,6,6,6,6,2,6,4,4,4,4,3,2,4,5,1,"122","53","87","2","5","","Female Scientists"
"46","5/14/2014 12:12","5/14/2014 12:48","1","","Female","1","1","","1","1",4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,"153","49","92","2","4","","Female Scientists"
"49","5/14/2014 12:55","5/14/2014 13:01","1","","Female","1","1","","1","1",4,4,4,4,7,4,4,4,4,7,4,4,4,4,4,4,4,4,"10","53","83","1","5","","Female Scientists"
"50","5/14/2014 13:10","5/14/2014 13:14","1","","Male","1","1","","1","1",5,4,6,2,5,4,4,4,5,5,5,1,4,4,4,5,4,3,"179","63","92","1","4","","Male Scientists"
"51","5/14/2014 13:09","5/14/2014 13:22","1","","Female","1","1","","1","1",1,1,1,1,1,1,1,1,1,4,1,1,1,1,1,1,1,1,"188","50","84","1","4","","Female Scientists"
"52","5/14/2014 13:23","5/14/2014 13:26","1","","Female","1","1","","1","2",7,6,4,4,6,6,4,6,6,6,2,6,6,6,5,4,4,3,"185","32","58","1","5","","Female Scientists"
"53","5/14/2014 13:32","5/14/2014 13:37","1","","Male","1","1","","1","1",2,4,5,7,7,6,2,5,6,4,5,5,5,3,2,2,4,1,"36","51","82","1","4","","Male Scientists"
"55","5/14/2014 13:30","5/14/2014 13:40","1","","Male","1","1","","1","1",7,6,2,6,6,6,5,7,7,5,6,6,6,6,6,3,4,1,"24","59","90","1","4","","Male Scientists"
"56","5/14/2014 13:37","5/14/2014 13:42","1","","Male","1","1","","1","1",7,5,6,6,4,6,6,6,6,6,6,6,6,5,6,5,5,2,"126","55","91","1","4","","Male Scientists"
"57","5/14/2014 13:32","5/14/2014 13:51","1","","Female","1","1","","1","1",4,6,5,4,6,7,6,6,6,7,7,4,6,5,5,5,6,1,"67","38","68","1","4","","Female Scientists"
"58","5/14/2014 13:54","5/14/2014 13:58","1","","Male","1","1","","1","1",2,3,4,3,3,4,2,3,3,5,6,5,4,2,3,2,2,2,"122","37","55","2","4","","Male Scientists"
"59","5/14/2014 14:02","5/14/2014 14:09","1","","Female","1","1","","1","1",2,4,6,4,4,5,6,3,4,2,4,5,3,3,4,4,4,4,"36","48","86","1","5","","Female Scientists"
"60","5/14/2014 14:18","5/14/2014 14:25","1","","Female","1","1","","1","1",7,7,6,6,7,7,7,7,6,4,4,4,7,7,7,7,6,2,"187","37","72","1","4","","Female Scientists"
"61","5/14/2014 14:20","5/14/2014 14:26","1","","Male","1","1","","1","1",4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,"31","53","84","1","4","","Male Scientists"
"62","5/14/2014 14:22","5/14/2014 14:26","1","","Male","1","1","","1","1",5,5,2,6,5,5,3,6,5,5,3,6,5,2,3,2,5,1,"187","40","69","1","4","","Male Scientists"
"64","5/14/2014 14:08","5/14/2014 14:44","1","","Female","1","1","","1","1",5,4,3,3,5,4,4,4,5,4,4,4,4,5,4,4,6,5,"143","57","83","1","4","","Female Scientists"
"67","5/14/2014 14:52","5/14/2014 14:59","1","","Male","1","1","","1","1",3,5,5,5,5,5,3,3,3,5,3,5,5,5,6,5,3,3,"84","57","89","2","5","","Male Scientists"
"68","5/14/2014 15:08","5/14/2014 15:12","1","","Female","1","1","","1","1",4,4,4,6,6,6,6,6,6,6,4,4,6,6,4,4,4,4,"187","36","63","1","4","","Female Scientists"
"69","5/14/2014 15:12","5/14/2014 15:16","1","","Female","1","1","","1","1",6,7,7,6,7,7,6,6,7,6,6,7,7,7,7,7,6,2,"187","35","62","1","4","","Female Scientists"
"70","5/14/2014 15:16","5/14/2014 15:22","1","","Male","1","1","","1","2",5,3,3,6,7,5,3,4,5,7,7,5,5,4,6,2,5,1,"185","13","50","1","5","","Male Scientists"
"71","5/14/2014 15:16","5/14/2014 15:31","1","","Female","1","1","","1","1",3,3,2,6,4,6,5,6,6,6,3,6,6,6,6,6,5,2,"36","67","94","1","5","","Female Scientists"
"72","5/14/2014 15:41","5/14/2014 15:45","1","","Male","1","1","","1","1",4,5,5,6,6,6,5,6,6,3,5,4,6,5,4,2,2,1,"187","54","90","1","5","","Male Scientists"
"75","5/14/2014 16:11","5/14/2014 16:15","1","","Female","1","1","","1","1",6,6,6,6,6,6,6,6,6,5,6,6,7,6,6,6,5,6,"187","57","88","1","5","","Female Scientists"
"76","5/14/2014 16:10","5/14/2014 16:15","1","","Female","1","1","","2","",7,7,4,5,6,4,6,7,7,4,6,4,7,7,7,6,6,4,"187","62","95","2","5","","Female Scientists"
"77","5/14/2014 16:30","5/14/2014 16:38","1","","Female","1","1","","1","1",6,5,2,6,4,7,4,4,1,4,2,4,7,6,5,3,6,6,"138","49","85","1","4","","Female Scientists"
"78","5/14/2014 16:30","5/14/2014 16:38","1","","Male","1","1","","2","",5,5,4,4,5,5,4,4,5,5,4,4,4,5,5,4,5,5,"9","68","95","1","4","","Male Scientists"
"79","5/14/2014 16:37","5/14/2014 17:09","1","","Male","1","1","","1","1",6,6,5,6,6,6,6,6,6,5,5,6,6,5,6,5,2,5,"78","48","76","1","4","","Male Scientists"
"80","5/14/2014 17:20","5/14/2014 17:22","1","","Male","1","1","","1","1",7,7,6,6,6,6,6,6,6,6,6,6,7,6,7,4,5,6,"163","49","81","1","4","","Male Scientists"
"81","5/14/2014 17:42","5/14/2014 17:54","1","","Female","1","1","","1","1",6,5,3,5,7,7,7,6,7,6,7,4,7,7,7,4,6,5,"3","55","85","2","5","","Female Scientists"
"82","5/14/2014 17:55","5/14/2014 18:06","1","","Female","1","1","","1","1",4,6,6,4,2,4,4,4,4,6,2,4,4,6,4,2,6,4,"80","59","91","1","5","","Female Scientists"
"83","5/14/2014 18:30","5/14/2014 18:34","1","","Male","1","1","","1","1",4,4,4,4,4,4,4,4,4,5,5,5,4,4,4,4,4,3,"187","60","92","1","5","","Male Scientists"
"84","5/14/2014 18:55","5/14/2014 19:04","1","","Female","1","1","","1","2",5,5,5,3,5,5,5,4,5,4,6,4,5,5,5,5,4,3,"61","32","70","1","4","","Female Scientists"
"85","5/14/2014 19:15","5/14/2014 19:21","1","","Male","1","1","","1","1",4,4,3,5,3,4,4,3,4,6,4,4,5,4,4,4,3,3,"187","28","74","2","5","","Male Scientists"
"86","5/14/2014 19:28","5/14/2014 19:34","1","","Male","1","1","","1","1",5,5,4,5,5,5,6,5,5,5,5,5,5,5,5,5,5,3,"187","33","60","1","4","","Male Scientists"
"87","5/14/2014 21:03","5/14/2014 21:18","1","","Female","1","1","","1","1",4,4,2,6,2,4,4,4,6,7,6,6,6,4,4,4,4,6,"137","48","80","1","4","","Female Scientists"
"88","5/14/2014 22:02","5/14/2014 22:06","1","","Female","1","1","","1","1",4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,"84","43","64","1","4","","Female Scientists"
"89","5/15/2014 0:19","5/15/2014 0:23","1","","Male","1","1","","1","1",4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,"187","38","79","2","4","","Male Scientists"
"90","5/15/2014 1:36","5/15/2014 1:42","1","","Female","1","1","","1","1",6,4,4,7,6,7,6,6,7,5,7,6,4,4,4,4,3,2,"187","66","94","2","5","","Female Scientists"
"92","5/15/2014 7:57","5/15/2014 8:13","1","","Female","1","1","","2","",6,2,6,5,5,6,2,2,7,6,6,6,6,6,2,6,6,6,"89","67","98","2","4","","Female Scientists"
"93","5/15/2014 9:17","5/15/2014 9:31","1","","Male","1","1","","1","1",6,6,5,6,6,6,6,6,6,6,5,6,6,6,6,6,4,4,"36","39","74","1","4","","Male Scientists"
"95","5/15/2014 12:10","5/15/2014 12:23","1","","Male","1","1","","1","1",4,4,4,4,4,3,4,5,2,2,1,4,4,2,2,2,4,1,"163","61","88","2","5","","Male Scientists"
"96","5/15/2014 13:26","5/15/2014 13:48","1","","Female","1","1","","1","1",4,7,4,4,4,4,4,4,4,4,1,4,4,5,4,4,4,1,"36","30","61","1","4","","Female Scientists"
"97","5/15/2014 15:38","5/15/2014 15:46","1","","Male","1","1","","1","1",1,4,4,7,7,7,2,4,2,4,2,4,4,4,4,4,4,2,"24","43","79","1","4","","Male Scientists"
"98","5/15/2014 17:03","5/15/2014 17:06","1","","Male","1","1","","1","1",5,5,3,6,5,6,3,3,3,5,6,6,5,4,5,3,4,2,"187","42","69","2","4","","Male Scientists"
"99","5/15/2014 17:57","5/15/2014 18:03","1","","Female","1","1","","1","1",2,3,6,2,4,6,4,5,5,1,2,5,5,3,6,5,2,2,"169","43","72","2","4","","Female Scientists"
"100","5/15/2014 18:44","5/15/2014 18:49","1","","Male","1","1","","1","1",6,5,5,6,7,6,5,5,4,4,5,4,6,6,6,4,3,1,"187","41","73","1","4","","Male Scientists"
"101","5/15/2014 20:46","5/15/2014 20:56","1","","Female","1","1","","1","1",7,6,2,6,6,6,6,7,7,2,2,4,7,6,6,6,7,3,"187","56","85","1","5","","Female Scientists"
"102","5/15/2014 22:50","5/15/2014 22:55","1","","Male","1","1","","1","1",5,5,4,4,5,5,5,4,5,3,3,4,5,5,3,5,3,2,"163","66","94","1","5","","Male Scientists"
"103","5/15/2014 23:28","5/15/2014 23:31","1","","Male","1","1","","1","1",4,3,2,4,4,4,3,3,3,6,3,4,4,3,3,2,3,1,"187","43","74","2","4","","Male Scientists"
"104","5/16/2014 0:09","5/16/2014 0:14","1","","Female","1","1","","1","6",6,6,6,6,6,6,6,6,6,5,4,5,6,6,6,6,6,4,"9","61","94","1","5","","Female Scientists"
"105","5/16/2014 6:23","5/16/2014 6:29","1","","Male","1","1","","1","1",7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,"78","48","80","1","4","","Male Scientists"
"106","5/16/2014 22:28","5/16/2014 22:32","1","","Female","1","1","","1","1",4,4,4,4,4,4,4,4,4,4,6,6,6,3,4,6,6,5,"100","46","78","1","4","","Female Scientists"
"108","5/17/2014 13:04","5/17/2014 13:08","1","","Male","1","1","","1","1",5,4,6,6,6,6,5,5,5,4,3,4,5,4,4,2,3,2,"122","42","86","2","4","","Male Scientists"
"110","5/19/2014 1:36","5/19/2014 1:42","1","","Male","1","1","","1","1",4,4,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,"137","55","83","2","4","","Male Scientists"
"112","5/19/2014 12:59","5/19/2014 13:02","1","","Male","1","1","","1","1",5,5,5,4,5,5,4,5,5,5,5,5,5,4,4,2,4,2,"185","31","57","2","4","","Male Scientists"
"113","5/19/2014 13:00","5/19/2014 13:04","1","","Female","1","1","","1","1",4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,"84","56","86","2","4","","Female Scientists"
"114","5/14/2014 10:31","5/19/2014 13:07","1","","Male","1","1","","1","1",5,3,2,2,3,3,2,3,5,2,2,3,4,4,3,3,4,2,"67","50","80","1","4","","Male Scientists"
"115","5/19/2014 13:07","5/19/2014 13:10","1","","Female","1","1","","1","1",6,6,6,6,6,6,6,6,6,2,2,6,6,6,6,5,6,4,"187","67","94","1","5","","Female Scientists"
"116","5/19/2014 13:07","5/19/2014 13:17","1","","Male","1","1","","1","1",6,6,3,5,7,6,6,6,7,5,5,4,6,6,7,6,6,2,"157","38","68","1","4","","Male Scientists"
"117","5/19/2014 13:16","5/19/2014 13:23","1","","Female","1","1","","1","1",6,6,4,4,6,6,6,2,6,5,5,6,6,6,6,6,3,3,"65","29","55","1","4","","Female Scientists"
"118","5/19/2014 13:20","5/19/2014 13:25","1","","Male","1","1","","1","1",6,6,3,6,6,5,4,6,6,4,4,4,4,4,4,4,4,2,"111","50","77","1","4","","Male Scientists"
"119","5/19/2014 13:24","5/19/2014 13:28","1","","Female","1","1","","1","1",5,5,4,5,4,6,4,5,5,5,4,4,5,3,5,4,5,5,"78","48","74","1","5","","Female Scientists"
"121","5/19/2014 13:24","5/19/2014 13:30","1","","Male","1","1","","1","1",1,2,4,2,1,2,2,2,5,1,5,1,2,1,2,1,1,1,"","47","79","1","4","","Male Scientists"
"122","5/19/2014 13:29","5/19/2014 13:35","1","","Male","1","1","","1","1",5,3,2,7,6,5,5,5,6,3,3,3,6,5,6,4,4,2,"187","38","66","1","4","","Male Scientists"
"123","5/19/2014 13:32","5/19/2014 13:36","1","","Female","1","1","","1","1",5,7,4,6,7,7,6,6,5,4,4,4,7,7,7,6,6,4,"185","38","63","1","4","","Female Scientists"
"124","5/19/2014 13:40","5/19/2014 13:44","1","","Female","1","1","","1","1",4,4,5,5,5,4,3,5,5,3,5,6,5,5,4,4,5,3,"42","63","93","2","4","","Female Scientists"
"126","5/19/2014 13:53","5/19/2014 13:59","1","","Male","1","1","","1","1",6,6,6,6,6,6,6,5,6,6,6,6,6,5,6,6,6,6,"80","46","86","1","4","","Male Scientists"
"127","5/19/2014 13:57","5/19/2014 14:00","1","","Female","1","1","","2","",NA,5,6,6,5,6,6,6,5,6,5,6,6,5,5,6,6,6,"78","67","95","1","4","","Female Scientists"
"128","5/19/2014 13:47","5/19/2014 14:02","1","","Male","1","1","","1","1",3,3,4,4,4,4,3,5,5,2,2,NA,6,4,4,4,3,2,"67","","51","1","4","","Male Scientists"
"129","5/19/2014 14:02","5/19/2014 14:07","1","","Female","1","1","","1","1",4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,"65","54","82","1","4","","Female Scientists"
"130","5/19/2014 14:13","5/19/2014 14:15","1","","Male","1","1","","1","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","","","","","Male Scientists"
"132","5/19/2014 14:31","5/19/2014 14:36","1","","Female","1","1","","1","1",3,5,3,4,5,4,4,4,5,6,2,4,5,4,5,3,5,5,"187","48","81","1","5","","Female Scientists"
"133","5/19/2014 14:36","5/19/2014 14:41","1","","Female","1","1","","2","",2,7,2,7,6,6,2,6,6,7,2,6,7,2,7,5,6,6,"43","51","95","2","4","","Female Scientists"
"134","5/19/2014 14:34","5/19/2014 14:47","1","","Male","1","1","","1","1",4,7,5,3,7,6,6,6,2,2,2,2,7,7,7,7,6,6,"36","58","91","1","4","","Male Scientists"
"135","5/19/2014 14:51","5/19/2014 15:04","1","","Female","1","1","","1","1",3,4,4,3,5,3,5,3,5,4,5,2,3,3,5,3,2,3,"80","53","84","1","4","","Female Scientists"
"136","5/19/2014 15:03","5/19/2014 15:06","1","","Male","1","1","","2","",3,2,5,4,4,6,5,4,4,4,4,2,3,2,5,5,5,2,"179","66","95","2","4","","Male Scientists"
"137","5/19/2014 15:06","5/19/2014 15:23","1","","Female","1","1","","1","1",4,6,6,4,4,6,5,5,6,2,5,4,4,4,4,4,4,2,"163","41","67","1","4","","Female Scientists"
"138","5/19/2014 15:23","5/19/2014 15:28","1","","Male","1","1","","1","1",5,4,5,4,6,5,5,4,5,5,5,4,4,6,4,4,4,4,"31","","","1","","","Male Scientists"
"139","5/19/2014 15:53","5/19/2014 15:56","1","","Male","1","1","","1","1",5,4,4,5,6,6,4,4,3,5,3,3,5,4,6,3,4,3,"61","59","87","1","5","","Male Scientists"
"140","5/19/2014 15:52","5/19/2014 15:56","1","","Male","1","1","","1","1",6,4,6,4,5,5,3,5,6,4,4,3,5,4,4,5,3,2,"187","51","80","1","4","","Male Scientists"
"141","5/19/2014 15:52","5/19/2014 15:56","1","","Female","1","1","","1","1",7,7,7,7,7,7,7,7,7,5,5,7,7,7,7,7,1,1,"187","43","76","1","4","","Female Scientists"
"142","5/19/2014 15:54","5/19/2014 16:00","1","","Female","1","1","","2","",4,5,3,6,6,6,5,6,5,3,6,5,5,3,4,4,6,3,"167","62","95","2","4","","Female Scientists"
"143","5/19/2014 15:49","5/19/2014 16:04","1","","Male","1","1","","1","1",5,6,4,5,6,7,6,6,6,5,5,5,6,7,7,1,7,7,"80","58","92","1","4","","Male Scientists"
"144","5/14/2014 10:15","5/19/2014 16:07","1","","Male","1","1","","1","1",4,4,4,5,4,4,4,4,5,4,4,4,4,4,4,4,4,4,"157","61","90","1","5","","Male Scientists"
"146","5/19/2014 16:12","5/19/2014 16:25","1","","Female","1","1","","2","",6,NA,3,4,3,6,6,2,4,4,6,4,6,4,6,4,5,2,"78","62","95","1","4","","Female Scientists"
"147","5/19/2014 16:17","5/19/2014 16:33","1","","Male","1","1","","1","1",6,2,4,4,6,3,5,5,6,6,3,6,4,2,4,5,5,3,"80","52","85","1","4","","Male Scientists"
"149","5/19/2014 13:04","5/19/2014 17:15","1","","Female","1","1","","1","1",7,7,3,7,7,7,7,7,7,4,4,7,7,7,7,7,3,4,"84","49","78","2","4","","Female Scientists"
"150","5/19/2014 18:29","5/19/2014 18:42","1","","Female","1","1","","1","2",5,6,5,6,6,6,6,6,6,6,6,6,6,6,6,6,4,1,"187","16","47","1","4","","Female Scientists"
"152","5/19/2014 18:55","5/19/2014 19:02","1","","Male","1","1","","1","1",6,6,3,6,6,6,6,6,6,2,6,6,6,6,6,5,5,2,"84","52","87","1","5","","Male Scientists"
"153","5/19/2014 18:30","5/19/2014 19:22","1","","Female","1","1","","1","1",5,6,4,5,6,5,5,2,4,5,4,4,6,6,4,4,4,2,"67","37","69","1","4","","Female Scientists"
"154","5/19/2014 19:46","5/19/2014 19:52","1","","Male","1","1","","1","1",4,2,5,5,2,5,4,2,5,2,5,2,5,2,4,2,2,4,"26","38","93","2","4","","Male Scientists"
"155","5/19/2014 19:59","5/19/2014 21:07","1","","Female","1","1","","1","1",6,5,NA,NA,NA,5,5,6,NA,6,5,5,3,NA,6,3,6,NA,"53","47","61","1","4","","Female Scientists"
"157","5/20/2014 1:05","5/20/2014 1:10","1","","Female","1","1","","1","1",3,5,3,4,3,2,3,3,6,3,6,3,2,2,3,2,3,3,"36","59","93","1","5","","Female Scientists"
"158","5/20/2014 2:35","5/20/2014 2:49","1","","Male","1","1","","1","1",5,6,3,5,5,6,2,5,3,1,2,2,6,5,6,5,5,3,"24","44","78","1","4","","Male Scientists"
"159","5/20/2014 2:47","5/20/2014 2:55","1","","Female","1","1","","1","2",4,6,4,6,6,6,4,6,6,4,6,6,6,6,6,6,6,3,"9","19","47","1","5","","Female Scientists"
"160","5/20/2014 2:58","5/20/2014 3:03","1","","Male","1","1","","1","1",6,6,7,4,6,6,6,6,6,3,3,2,7,6,2,3,7,1,"78","49","79","1","4","","Male Scientists"
"161","5/20/2014 3:46","5/20/2014 3:52","1","","Male","1","1","","1","1",5,3,3,4,5,5,5,5,6,2,3,3,5,3,4,3,2,1,"187","32","60","2","4","","Male Scientists"
"162","5/20/2014 2:15","5/20/2014 4:02","1","","Female","1","1","","1","1",6,6,3,6,4,6,6,6,2,1,4,5,6,5,6,2,6,1,"36","44","81","2","4","","Female Scientists"
"163","5/20/2014 5:00","5/20/2014 5:04","1","","Female","1","1","","1","1",4,4,4,5,5,4,4,4,5,4,4,5,4,4,4,4,5,4,"36","50","78","2","4","","Female Scientists"
"164","5/14/2014 19:18","5/20/2014 6:04","1","","Female","1","1","","1","6",5,7,1,6,6,7,7,1,1,7,5,7,7,7,7,4,6,6,"78","62","92","2","5","","Female Scientists"
"165","5/20/2014 7:33","5/20/2014 7:42","1","","Female","1","1","","1","2",2,2,1,2,2,2,2,2,4,2,2,2,5,2,4,2,5,2,"78","30","61","1","5","","Female Scientists"
"167","5/14/2014 13:49","5/20/2014 10:52","1","","Female","1","1","","1","1",7,7,7,7,7,7,7,7,7,7,5,7,7,7,7,7,7,7,"95","58","85","1","5","","Female Scientists"
"168","5/20/2014 14:25","5/20/2014 14:34","1","","Male","1","1","","1","1",4,5,6,6,6,6,4,6,6,5,1,1,7,6,7,7,6,2,"122","37","88","1","4","","Male Scientists"
