V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,Screening,Condition,Intro,Consent,Reason_NC,Check_PhD,CheckGroup,Intro_FS,Q1_FS_Ob,Q2_FS_Ob,Q3_FS_Ob,Q4_FS_Ra,Q5_FS_Ra,Q6_FS_Ra,Q7_FS_Op,Q8_FS_Op,Q9_FS_Op,Q10_FS_IQ,Q11_FS_IQ,Q12_FS_IQ,Q13_FS_In,Q14_FS_In,Q15_FS_In,Q16_FS_Co,Q17_FS_Co,Q18_FS_Co,Intro_MS,Q1_MS_Ob,Q2_MS_Ob,Q3_MS_Ob,Q4_MS_Ra,Q5_MS_Ra,Q6_MS_Ra,Q7_MS_Op,Q8_MS_Op,Q9_MS_Op,Q10_MS_IQ,Q11_MS_IQ,Q12_MS_IQ,Q13_MS_In,Q14_MS_In,Q15_MS_In,Q16_MS_Co,Q17_MS_Co,Q18_MS_Co,Intro_dem,Dem_countr,Dem_y_born,Dem_ac_age,Dem_gender,Dem_tenure,Feedback,LocationLatitude,LocationLongitude,LocationAccuracy
R_bfMAnWvUhtNkcRv,Default Response Set,,,,,0,5/14/2014 10:10,5/14/2014 10:14,1,,Male,1,1,,1,1,,,,,,,,,,,,,,,,,,,,1,6,6,2,6,6,6,6,6,6,6,3,3,6,6,6,6,6,6,1,87,53,82,1,5,,,,
R_1YcHkUJu8u71Bgp,Default Response Set,,,,,0,5/14/2014 10:17,5/14/2014 10:21,1,,Female,1,1,,1,1,1,6,6,3,6,6,6,5,6,6,5,6,6,6,4,4,4,6,2,,,,,,,,,,,,,,,,,,,,1,161,37,68,1,4,,,,
R_eR5GPhtdOM5pOZv,Default Response Set,,,,,0,5/14/2014 10:16,5/14/2014 10:21,1,,Male,1,1,,1,1,,,,,,,,,,,,,,,,,,,,1,2,4,6,5,5,5,4,4,3,3,5,4,4,1,1,3,3,2,1,84,57,86,2,4,,,,
R_0ARHJmSkPYdBy3b,Default Response Set,,,,,0,5/14/2014 10:21,5/14/2014 10:27,1,,Male,1,1,,1,1,,,,,,,,,,,,,,,,,,,,1,5,5,4,6,6,5,5,6,5,6,6,5,5,4,6,6,4,3,1,185,65,92,2,5,,,,
R_eROTPx0scSzK54F,Default Response Set,,,,,0,5/14/2014 10:11,5/14/2014 10:28,1,,Female,1,1,,1,1,1,7,7,3,6,7,6,7,7,7,6,7,7,7,7,7,6,7,6,,,,,,,,,,,,,,,,,,,,1,163,42,72,1,4,,,,
R_b1n1x7VO2BbGHWZ,Default Response Set,,,,,0,5/14/2014 10:26,5/14/2014 10:28,1,,Male,1,1,,1,1,,,,,,,,,,,,,,,,,,,,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1,9,47,78,1,4,,,,
R_3Wv5w3XSkKAcraZ,Default Response Set,,,,,0,5/14/2014 10:27,5/14/2014 10:31,1,,Male,1,1,,1,1,,,,,,,,,,,,,,,,,,,,1,4,4,4,4,4,4,4,4,4,2,4,4,4,4,4,3,3,3,1,17,63,90,2,5,,,,
R_2cbqfbmHGoOlLoN,Default Response Set,,,,,0,5/14/2014 10:30,5/14/2014 10:33,1,,Male,1,1,,1,1,,,,,,,,,,,,,,,,,,,,1,6,6,4,6,6,6,5,6,6,4,5,6,6,6,6,6,5,5,1,185,52,85,2,4,,,,
R_bBknahSnNfvWYSN,Default Response Set,,,,,0,5/14/2014 10:36,5/14/2014 10:46,1,,Male,1,1,,1,1,,,,,,,,,,,,,,,,,,,,1,4,2,2,6,6,6,2,2,5,1,1,2,4,4,4,1,1,2,1,163,56,83,1,4,,,,
R_0eTYU7U216GItVP,Default Response Set,,,,,0,5/14/2014 10:42,5/14/2014 10:48,1,,Male,1,1,,1,1,,,,,,,,,,,,,,,,,,,,1,6,6,7,6,6,6,6,6,6,2,2,2,6,6,7,6,6,3,1,122,48,88,1,5,,,,
R_ebRPD7UGwTvpuHb,Default Response Set,,,,,0,5/14/2014 10:02,5/14/2014 10:53,1,,Female,1,1,,2,,1,7,7,6,7,7,7,7,7,7,4,4,4,7,7,7,7,7,4,,,,,,,,,,,,,,,,,,,,1,89,59,96,1,5,,,,
R_cPhkXpEGO61AktL,Default Response Set,,,,,0,5/14/2014 10:49,5/14/2014 10:54,1,,Male,1,1,,1,1,,,,,,,,,,,,,,,,,,,,1,2,2,3,2,2,4,3,3,2,1,2,1,2,2,2,2,2,1,1,82,46,78,1,4,,,,
R_3w6tFTAdeBkveCx,Default Response Set,,,,,0,5/14/2014 11:01,5/14/2014 11:01,1,Screened_out,,1,1,,1,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_86TguzCFw1HQsXb,Default Response Set,,,,,0,5/14/2014 11:00,5/14/2014 11:02,1,Screened_out,,1,1,,1,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_1zuduIfUpyHKvTD,Default Response Set,,,,,0,5/14/2014 10:59,5/14/2014 11:02,1,,Male,1,1,,1,1,,,,,,,,,,,,,,,,,,,,1,5,7,6,7,7,6,5,6,5,6,7,7,7,6,5,5,5,2,1,122,47,76,1,4,,,,
R_eWkhEjtjK2EaNXT,Default Response Set,,,,,0,5/14/2014 10:57,5/14/2014 11:02,1,,Male,1,1,,1,1,,,,,,,,,,,,,,,,,,,,1,5,5,6,6,5,6,6,2,2,3,5,3,6,5,6,2,6,3,1,36,59,91,2,4,,,,
R_9BKceXgOx1itwGN,Default Response Set,,,,,0,5/14/2014 10:59,5/14/2014 11:03,1,,Female,1,1,,1,1,1,3,3,3,4,4,4,2,3,4,4,4,4,4,4,5,4,3,3,,,,,,,,,,,,,,,,,,,,1,138,51,75,1,4,,,,
R_bKtf3IWi0VlkzJP,Default Response Set,,,,,0,5/14/2014 10:58,5/14/2014 11:03,1,,Female,1,1,,1,1,1,2,5,2,3,4,2,4,4,4,3,4,5,4,2,2,2,5,2,,,,,,,,,,,,,,,,,,,,1,122,53,81,1,4,,,,
R_1Fx1msbybRC1YIB,Default Response Set,,,,,0,5/14/2014 11:00,5/14/2014 11:07,1,,Male,1,1,,1,1,,,,,,,,,,,,,,,,,,,,1,4,5,5,5,5,4,4,3,4,3,3,2,5,3,3,4,3,2,1,82,59,91,1,5,,,,
R_4Vnn0muC87oz0DX,Default Response Set,,,,,0,5/14/2014 10:59,5/14/2014 11:09,1,,Female,1,1,,1,1,1,4,3,3,3,3,3,2,5,4,3,5,5,6,4,4,3,4,2,,,,,,,,,,,,,,,,,,,,1,122,56,85,1,4,,,,
R_3UijpSS3CvAczUp,Default Response Set,,,,,0,5/14/2014 10:52,5/14/2014 11:09,1,,Female,1,1,,1,1,1,6,4,4,4,6,4,5,3,2,2,6,4,4,2,1,4,2,1,,,,,,,,,,,,,,,,,,,,1,60,58,86,1,4,,,,
R_6R4ApZSrBicf6Xb,Default Response Set,,,,,0,5/14/2014 11:02,5/14/2014 11:15,1,,Male,1,1,,1,1,,,,,,,,,,,,,,,,,,,,1,4,5,4,5,5,6,7,4,4,5,6,4,6,5,3,5,5,2,1,36,50,82,1,4,,,,
R_8ArzAkXKpLTTbc9,Default Response Set,,,,,0,5/14/2014 11:12,5/14/2014 11:18,1,,Female,1,1,,1,1,1,6,5,3,6,6,6,4,6,6,4,7,4,6,2,2,3,2,1,,,,,,,,,,,,,,,,,,,,1,122,47,79,1,4,,,,
R_5ci8T7svqKVyDEF,Default Response Set,,,,,0,5/14/2014 11:16,5/14/2014 11:19,1,,Male,1,1,,1,1,,,,,,,,,,,,,,,,,,,,1,4,4,4,4,4,4,4,4,4,3,4,3,4,4,4,4,4,3,1,86,54,86,1,4,,,,
R_3gWnBriBtkVENIV,Default Response Set,,,,,0,5/14/2014 11:25,5/14/2014 11:26,1,Screened_out,,1,1,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_a5x2uscPgYwEbGt,Default Response Set,,,,,0,5/14/2014 11:24,5/14/2014 11:30,1,,Female,1,1,,1,1,1,2,2,5,4,7,4,2,3,4,3,5,4,4,2,2,4,1,2,,,,,,,,,,,,,,,,,,,,1,84,62,86,1,4,,,,
R_8Jj7c4EYE6eLx09,Default Response Set,,,,,0,5/14/2014 11:36,5/14/2014 11:41,1,,Female,1,1,,2,,1,4,4,4,6,6,6,5,4,5,5,5,6,5,4,4,4,5,3,,,,,,,,,,,,,,,,,,,,1,9,64,95,2,5,,,,
R_1ObDZLmQs8wRH93,Default Response Set,,,,,0,5/14/2014 11:37,5/14/2014 11:42,1,,Male,1,1,,1,1,,,,,,,,,,,,,,,,,,,,1,2,3,3,5,5,4,6,5,5,2,5,4,4,4,6,2,3,2,1,9,51,83,1,4,,,,
R_9mA79ZAJeKh3kfb,Default Response Set,,,,,0,5/14/2014 11:44,5/14/2014 11:48,1,,Male,1,1,,1,1,,,,,,,,,,,,,,,,,,,,1,5,6,6,6,6,6,5,5,6,5,5,5,6,5,7,5,3,3,1,9,31,81,2,5,,,,
R_07m5v1E50bu6QiV,Default Response Set,,,,,0,5/14/2014 11:59,5/14/2014 12:05,1,,Female,1,1,,1,1,1,4,4,4,6,6,4,6,6,6,5,7,7,4,4,4,4,4,2,,,,,,,,,,,,,,,,,,,,1,67,61,90,2,4,,,,
R_7P449A92jExIwpT,Default Response Set,,,,,0,5/14/2014 12:12,5/14/2014 12:18,1,,Male,1,1,,1,1,,,,,,,,,,,,,,,,,,,,1,5,6,2,6,6,6,4,6,6,4,2,2,6,6,6,4,3,2,1,163,61,91,1,4,,,,
R_cSZ1Ek4UzcdcS2N,Default Response Set,,,,,0,5/14/2014 12:08,5/14/2014 12:21,1,,Male,1,1,,1,1,,,,,,,,,,,,,,,,,,,,1,7,7,6,4,4,6,4,6,6,3,4,5,7,6,7,4,3,2,1,48,46,71,2,5,,,,
R_7U3i2EJOXpdisAJ,Default Response Set,,,,,0,5/14/2014 12:04,5/14/2014 12:35,1,,Female,1,1,,1,1,1,4,2,3,4,4,6,3,4,5,6,6,4,6,3,4,4,3,2,,,,,,,,,,,,,,,,,,,,1,67,55,84,1,4,,,,
R_9oWNDvIkNOOESPz,Default Response Set,,,,,0,5/14/2014 12:38,5/14/2014 12:41,1,,Male,1,1,,1,1,,,,,,,,,,,,,,,,,,,,1,5,6,3,7,5,6,2,6,7,5,6,6,5,5,6,5,4,3,1,187,36,68,1,4,,,,
R_e2I5LhpwNdEPEJD,Default Response Set,,,,,0,5/14/2014 12:43,5/14/2014 12:45,1,,Female,1,1,,1,1,1,4,2,4,6,6,6,6,2,6,4,4,4,4,3,2,4,5,1,,,,,,,,,,,,,,,,,,,,1,122,53,87,2,5,,,,
R_6KHJmcoLkpIiQfP,Default Response Set,,,,,0,5/14/2014 12:12,5/14/2014 12:48,1,,Female,1,1,,1,1,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,,,,,,,,,,,,,,,,,,,,1,153,49,92,2,4,,,,
R_b8AfJ9ZlE4TCZ49,Default Response Set,,,,,0,5/14/2014 12:59,5/14/2014 13:00,1,Screened_out,,1,1,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_4HC3avPUuIZQY4t,Default Response Set,,,,,0,5/14/2014 13:00,5/14/2014 13:00,1,Screened_out,,1,1,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_5uuFvyDHKb067jf,Default Response Set,,,,,0,5/14/2014 12:55,5/14/2014 13:01,1,,Female,1,1,,1,1,1,4,4,4,4,7,4,4,4,4,7,4,4,4,4,4,4,4,4,,,,,,,,,,,,,,,,,,,,1,10,53,83,1,5,,,,
R_3VFQDmnkAYQcg6x,Default Response Set,,,,,0,5/14/2014 13:10,5/14/2014 13:14,1,,Male,1,1,,1,1,,,,,,,,,,,,,,,,,,,,1,5,4,6,2,5,4,4,4,5,5,5,1,4,4,4,5,4,3,1,179,63,92,1,4,,,,
R_ePXgXcGRxA1rH8x,Default Response Set,,,,,0,5/14/2014 13:09,5/14/2014 13:22,1,,Female,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,4,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,1,188,50,84,1,4,,,,
R_5cl4hTref7fWLuR,Default Response Set,,,,,0,5/14/2014 13:23,5/14/2014 13:26,1,,Female,1,1,,1,2,1,7,6,4,4,6,6,4,6,6,6,2,6,6,6,5,4,4,3,,,,,,,,,,,,,,,,,,,,1,185,32,58,1,5,,,,
R_esqdjfz1ELwRHDv,Default Response Set,,,,,0,5/14/2014 13:32,5/14/2014 13:37,1,,Male,1,1,,1,1,,,,,,,,,,,,,,,,,,,,1,2,4,5,7,7,6,2,5,6,4,5,5,5,3,2,2,4,1,1,36,51,82,1,4,,,,
R_eglKXmWlZ5FYdlr,Default Response Set,,,,,0,5/14/2014 13:37,5/14/2014 13:38,1,Screened_out,,1,1,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_6JxWzhiOTXEYUhT,Default Response Set,,,,,0,5/14/2014 13:30,5/14/2014 13:40,1,,Male,1,1,,1,1,,,,,,,,,,,,,,,,,,,,1,7,6,2,6,6,6,5,7,7,5,6,6,6,6,6,3,4,1,1,24,59,90,1,4,,,,
R_e504UnkzJxiIQsZ,Default Response Set,,,,,0,5/14/2014 13:37,5/14/2014 13:42,1,,Male,1,1,,1,1,,,,,,,,,,,,,,,,,,,,1,7,5,6,6,4,6,6,6,6,6,6,6,6,5,6,5,5,2,1,126,55,91,1,4,,,,
R_40aYqRJYrzkIMtL,Default Response Set,,,,,0,5/14/2014 13:32,5/14/2014 13:51,1,,Female,1,1,,1,1,1,4,6,5,4,6,7,6,6,6,7,7,4,6,5,5,5,6,1,,,,,,,,,,,,,,,,,,,,1,67,38,68,1,4,,,,
R_afuUNw0CnkT0DVr,Default Response Set,,,,,0,5/14/2014 13:54,5/14/2014 13:58,1,,Male,1,1,,1,1,,,,,,,,,,,,,,,,,,,,1,2,3,4,3,3,4,2,3,3,5,6,5,4,2,3,2,2,2,1,122,37,55,2,4,,,,
R_elYw64sSlw15JGJ,Default Response Set,,,,,0,5/14/2014 14:02,5/14/2014 14:09,1,,Female,1,1,,1,1,1,2,4,6,4,4,5,6,3,4,2,4,5,3,3,4,4,4,4,,,,,,,,,,,,,,,,,,,,1,36,48,86,1,5,,,,
R_d6b3M2H6nGQC9uZ,Default Response Set,,,,,0,5/14/2014 14:18,5/14/2014 14:25,1,,Female,1,1,,1,1,1,7,7,6,6,7,7,7,7,6,4,4,4,7,7,7,7,6,2,,,,,,,,,,,,,,,,,,,,1,187,37,72,1,4,,,,
R_6YgWcmhfGjw67zL,Default Response Set,,,,,0,5/14/2014 14:20,5/14/2014 14:26,1,,Male,1,1,,1,1,,,,,,,,,,,,,,,,,,,,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1,31,53,84,1,4,,,,
R_cFIeDldR7sSdKw5,Default Response Set,,,,,0,5/14/2014 14:22,5/14/2014 14:26,1,,Male,1,1,,1,1,,,,,,,,,,,,,,,,,,,,1,5,5,2,6,5,5,3,6,5,5,3,6,5,2,3,2,5,1,1,187,40,69,1,4,,,,
R_eeCe1KRZumLZZwV,Default Response Set,,,,,0,5/14/2014 14:40,5/14/2014 14:41,1,Screened_out,,1,1,,1,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_cvxyhrYEK0bR5iZ,Default Response Set,,,,,0,5/14/2014 14:08,5/14/2014 14:44,1,,Female,1,1,,1,1,1,5,4,3,3,5,4,4,4,5,4,4,4,4,5,4,4,6,5,,,,,,,,,,,,,,,,,,,,1,143,57,83,1,4,,,,
R_77o6o5UQ1IjSi2N,Default Response Set,,,,,0,5/14/2014 14:48,5/14/2014 14:48,1,Screened_out,,1,1,,1,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_9tPnlncjvFvVbw1,Default Response Set,,,,,0,5/14/2014 14:48,5/14/2014 14:49,1,Screened_out,,1,1,,1,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_bJZNWZSivWd1rHn,Default Response Set,,,,,0,5/14/2014 14:52,5/14/2014 14:59,1,,Male,1,1,,1,1,,,,,,,,,,,,,,,,,,,,1,3,5,5,5,5,5,3,3,3,5,3,5,5,5,6,5,3,3,1,84,57,89,2,5,,,,
R_40bs98zVONgbnud,Default Response Set,,,,,0,5/14/2014 15:08,5/14/2014 15:12,1,,Female,1,1,,1,1,1,4,4,4,6,6,6,6,6,6,6,4,4,6,6,4,4,4,4,,,,,,,,,,,,,,,,,,,,1,187,36,63,1,4,,,,
R_cwOuqPlx5zpnbjT,Default Response Set,,,,,0,5/14/2014 15:12,5/14/2014 15:16,1,,Female,1,1,,1,1,1,6,7,7,6,7,7,6,6,7,6,6,7,7,7,7,7,6,2,,,,,,,,,,,,,,,,,,,,1,187,35,62,1,4,,,,
R_b3j8GC6BIWqvsEJ,Default Response Set,,,,,0,5/14/2014 15:16,5/14/2014 15:22,1,,Male,1,1,,1,2,,,,,,,,,,,,,,,,,,,,1,5,3,3,6,7,5,3,4,5,7,7,5,5,4,6,2,5,1,1,185,13,50,1,5,,,,
R_bqs0BbUGp5qr1MF,Default Response Set,,,,,0,5/14/2014 15:16,5/14/2014 15:31,1,,Female,1,1,,1,1,1,3,3,2,6,4,6,5,6,6,6,3,6,6,6,6,6,5,2,,,,,,,,,,,,,,,,,,,,1,36,67,94,1,5,,,,
R_0oiKBEGmwUKcfLn,Default Response Set,,,,,0,5/14/2014 15:41,5/14/2014 15:45,1,,Male,1,1,,1,1,,,,,,,,,,,,,,,,,,,,1,4,5,5,6,6,6,5,6,6,3,5,4,6,5,4,2,2,1,1,187,54,90,1,5,,,,
R_3l0IMPHISv8f6Lj,Default Response Set,,,,,0,5/14/2014 16:09,5/14/2014 16:10,1,Screened_out,,1,1,,1,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_bf7HIdlb9Fcw0At,Default Response Set,,,,,0,5/14/2014 16:10,5/14/2014 16:11,1,Screened_out,,1,1,,1,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_eS3JoqjZ2prrOjr,Default Response Set,,,,,0,5/14/2014 16:11,5/14/2014 16:15,1,,Female,1,1,,1,1,1,6,6,6,6,6,6,6,6,6,5,6,6,7,6,6,6,5,6,,,,,,,,,,,,,,,,,,,,1,187,57,88,1,5,,,,
R_8dGyKsXWhTHJEsB,Default Response Set,,,,,0,5/14/2014 16:10,5/14/2014 16:15,1,,Female,1,1,,2,,1,7,7,4,5,6,4,6,7,7,4,6,4,7,7,7,6,6,4,,,,,,,,,,,,,,,,,,,,1,187,62,95,2,5,,,,
R_bg5n2r7HGxdczul,Default Response Set,,,,,0,5/14/2014 16:30,5/14/2014 16:38,1,,Female,1,1,,1,1,1,6,5,2,6,4,7,4,4,1,4,2,4,7,6,5,3,6,6,,,,,,,,,,,,,,,,,,,,1,138,49,85,1,4,,,,
R_0SPbjrbbUl7mOMJ,Default Response Set,,,,,0,5/14/2014 16:30,5/14/2014 16:38,1,,Male,1,1,,2,,,,,,,,,,,,,,,,,,,,,1,5,5,4,4,5,5,4,4,5,5,4,4,4,5,5,4,5,5,1,9,68,95,1,4,,,,
R_0SoxZOPylpyuEdv,Default Response Set,,,,,0,5/14/2014 16:37,5/14/2014 17:09,1,,Male,1,1,,1,1,,,,,,,,,,,,,,,,,,,,1,6,6,5,6,6,6,6,6,6,5,5,6,6,5,6,5,2,5,1,78,48,76,1,4,,,,
R_8kNoGQY9snGECLX,Default Response Set,,,,,0,5/14/2014 17:20,5/14/2014 17:22,1,,Male,1,1,,1,1,,,,,,,,,,,,,,,,,,,,1,7,7,6,6,6,6,6,6,6,6,6,6,7,6,7,4,5,6,1,163,49,81,1,4,,,,
R_5zrXOK0FHx3n2aF,Default Response Set,,,,,0,5/14/2014 17:42,5/14/2014 17:54,1,,Female,1,1,,1,1,1,6,5,3,5,7,7,7,6,7,6,7,4,7,7,7,4,6,5,,,,,,,,,,,,,,,,,,,,1,3,55,85,2,5,,,,
R_eW0xyzKtDQVH5hb,Default Response Set,,,,,0,5/14/2014 17:55,5/14/2014 18:06,1,,Female,1,1,,1,1,1,4,6,6,4,2,4,4,4,4,6,2,4,4,6,4,2,6,4,,,,,,,,,,,,,,,,,,,,1,80,59,91,1,5,,,,
R_0IXr4kIxsVtMQbb,Default Response Set,,,,,0,5/14/2014 18:30,5/14/2014 18:34,1,,Male,1,1,,1,1,,,,,,,,,,,,,,,,,,,,1,4,4,4,4,4,4,4,4,4,5,5,5,4,4,4,4,4,3,1,187,60,92,1,5,,,,
R_2nQvS4IOyJlwB5X,Default Response Set,,,,,0,5/14/2014 18:55,5/14/2014 19:04,1,,Female,1,1,,1,2,1,5,5,5,3,5,5,5,4,5,4,6,4,5,5,5,5,4,3,,,,,,,,,,,,,,,,,,,,1,61,32,70,1,4,,,,
