"","Start_time","End_time","Finished","Screening","Condition","Intro","Consent","Reason_nc","Check_phd","Check_work_status","Check_phd_research","ob1","ob2","ob3","ra1","ra2","ra3","op1","op2","op3","iq1","iq2","iq3","in1","in2","in3","co1","co2","co3","Country","Year_born","Year_phd","Gender","Tenure","Feedback","Target"
"18","5/14/2014 10:08","5/14/2014 10:12","1",NA,"Early","1","1",NA,"1","1",NA,5,6,4,5,4,6,5,6,6,3,3,5,6,4,6,2,2,2,"128","47","76","1","4",NA,"Early-career Scientists"
"19","5/14/2014 10:09","5/14/2014 10:14","1",NA,"Established","1","1",NA,"2",NA,"1",5,3,2,4,3,5,3,6,2,1,1,1,6,3,5,5,2,3,"42","62","98","1","5",NA,"Established Scientists"
"21","5/14/2014 10:11","5/14/2014 10:15","1",NA,"PhD","1","1",NA,"1","1",NA,6,4,2,6,6,6,2,6,6,4,6,6,6,7,7,5,5,2,"185","28","55","1","4",NA,"PhD Students"
"22","5/14/2014 10:09","5/14/2014 10:15","1",NA,"Established","1","1",NA,"1","1",NA,5,5,1,6,7,6,3,3,3,5,5,4,5,3,3,2,4,2,"61","61","87","1","5",NA,"Established Scientists"
"23","5/14/2014 10:04","5/14/2014 10:15","1",NA,"Established","1","1",NA,"1","1",NA,4,5,3,5,5,5,6,4,5,5,4,6,6,5,6,3,4,2,"183","47","75","1","4",NA,"Established Scientists"
"25","5/14/2014 10:12","5/14/2014 10:19","1",NA,"PhD","1","1",NA,"1","1",NA,7,6,2,6,6,7,6,6,3,6,6,1,6,6,3,6,6,3,"179","53","90","1","4",NA,"PhD Students"
"26","5/14/2014 10:12","5/14/2014 10:19","1",NA,"Early","1","1",NA,"1","1",NA,6,6,2,6,6,6,6,1,6,6,3,2,6,6,6,2,6,7,"163","57","88","2","5",NA,"Early-career Scientists"
"27","5/14/2014 10:17","5/14/2014 10:20","1",NA,"Established","1","1",NA,"1","1",NA,6,6,6,6,6,6,6,6,6,6,7,5,6,6,6,6,5,6,"67","58","86","1","4",NA,"Established Scientists"
"28","5/14/2014 10:18","5/14/2014 10:22","1",NA,"Early","1","1",NA,"1","1",NA,6,6,4,5,7,6,6,2,7,5,6,5,6,6,7,2,2,3,"178","46","75","1","4",NA,"Early-career Scientists"
"29","5/14/2014 10:20","5/14/2014 10:23","1",NA,"Established","1","1",NA,"1","1",NA,4,3,3,6,6,6,5,3,5,2,2,4,5,4,6,3,4,4,"48","55","82","1","4",NA,"Established Scientists"
"31","5/14/2014 10:23","5/14/2014 10:27","1",NA,"PhD","1","1",NA,"1","1",NA,3,6,2,6,3,3,6,3,5,1,1,2,7,7,7,6,4,3,"163","43","75","1","4",NA,"PhD Students"
"32","5/14/2014 10:22","5/14/2014 10:29","1",NA,"Established","1","1",NA,"1","1",NA,7,7,7,7,7,7,7,7,7,7,5,5,6,5,7,7,7,5,"36","53","84","1","5",NA,"Established Scientists"
"33","5/14/2014 10:24","5/14/2014 10:32","1",NA,"Early","1","1",NA,"1","1",NA,4,5,4,5,5,5,3,5,6,4,5,5,4,4,4,4,5,4,"84","50","79","1","4",NA,"Early-career Scientists"
"34","5/14/2014 10:31","5/14/2014 10:34","1",NA,"Early","1","1",NA,"1","1",NA,4,4,4,2,4,4,4,2,4,4,5,4,4,4,4,4,4,6,"137","52","82","1","5",NA,"Early-career Scientists"
"35","5/14/2014 10:31","5/14/2014 10:34","1",NA,"Established","1","1",NA,"1","1",NA,6,6,6,6,6,5,6,5,6,5,5,2,7,7,7,7,5,5,"151","60","90","1","5",NA,"Established Scientists"
"36","5/14/2014 10:31","5/14/2014 10:34","1",NA,"Early","1","1",NA,"1","1",NA,6,6,3,6,7,6,6,6,7,5,2,3,7,7,7,7,6,4,"101","60","89","1","5",NA,"Early-career Scientists"
"37","5/14/2014 10:29","5/14/2014 10:35","1",NA,"Established","1","1",NA,"2",NA,"1",6,7,4,5,6,7,6,6,7,3,3,7,7,7,7,6,7,3,"151","64","95","1","4",NA,"Established Scientists"
"38","5/14/2014 10:19","5/14/2014 10:35","1",NA,"PhD","1","1",NA,"1","1",NA,6,5,6,4,6,5,4,6,5,2,6,4,6,5,6,3,5,3,"137","52","92","2","4",NA,"PhD Students"
"39","5/14/2014 10:33","5/14/2014 10:37","1",NA,"PhD","1","1",NA,"1","1",NA,3,3,2,3,5,5,5,5,5,6,6,3,5,5,5,3,5,2,"82","47","71","2","4",NA,"PhD Students"
"41","5/14/2014 10:35","5/14/2014 10:38","1",NA,"Established","1","1",NA,"1","1",NA,5,3,3,6,5,6,3,3,3,2,2,5,6,5,4,5,5,1,"17","60","88","1","4",NA,"Established Scientists"
"43","5/14/2014 10:34","5/14/2014 10:40","1",NA,"PhD","1","1",NA,"1","1",NA,5,5,6,4,3,6,5,5,5,5,6,3,6,4,5,4,4,6,"153","47","88","2","4",NA,"PhD Students"
"44","5/14/2014 10:35","5/14/2014 10:42","1",NA,"Early","1","1",NA,"1","1",NA,3,1,2,1,1,2,2,3,6,3,5,3,3,3,2,1,5,2,"104","39","84","2","4",NA,"Early-career Scientists"
"45","5/14/2014 10:39","5/14/2014 10:45","1",NA,"Established","1","1",NA,"1","1",NA,6,6,6,5,7,7,6,3,7,2,2,4,6,7,7,5,6,5,"137","60","92","2","4",NA,"Established Scientists"
"46","5/14/2014 10:43","5/14/2014 10:47","1",NA,"PhD","1","1",NA,"1","1",NA,3,3,1,7,6,7,3,3,2,3,3,3,3,2,5,3,2,6,"179","61","92","1","4",NA,"PhD Students"
"47","5/14/2014 10:33","5/14/2014 10:48","1",NA,"Early","1","1",NA,"1","1",NA,4,5,6,2,2,2,4,6,6,3,3,1,6,4,5,1,5,4,"163","50","78","1","4",NA,"Early-career Scientists"
"48","5/14/2014 10:35","5/14/2014 10:48","1",NA,"PhD","1","1",NA,"1","1",NA,5,5,5,5,5,5,4,3,5,6,5,4,5,5,5,3,4,5,"86","32","64","2","4",NA,"PhD Students"
"49","5/14/2014 10:48","5/14/2014 10:52","1",NA,"PhD","1","1",NA,"1","1",NA,5,4,4,3,4,5,4,4,5,3,2,2,7,4,6,4,4,3,"84","46","78","1","4",NA,"PhD Students"
"50","5/14/2014 10:43","5/14/2014 10:53","1",NA,"PhD","1","1",NA,"1","1",NA,4,6,4,4,6,4,6,6,6,2,4,5,7,7,7,6,6,3,"122","47","78","2","4",NA,"PhD Students"
"51","5/14/2014 10:41","5/14/2014 10:54","1",NA,"Established","1","1",NA,"1","1",NA,6,5,5,6,5,6,6,6,6,4,5,6,7,6,6,6,6,5,"65","32","62","1","4",NA,"Established Scientists"
"52","5/14/2014 10:52","5/14/2014 10:55","1",NA,"Early","1","1",NA,"1","1",NA,6,7,5,7,7,6,6,7,7,3,5,5,7,7,7,6,5,2,"185","63","90","1","5",NA,"Early-career Scientists"
"53","5/14/2014 10:54","5/14/2014 10:58","1",NA,"Established","1","1",NA,"1","1",NA,2,2,2,2,2,2,2,2,2,2,1,2,2,1,2,2,2,1,"163","62","94","1","5",NA,"Established Scientists"
"54","5/14/2014 10:55","5/14/2014 11:00","1",NA,"PhD","1","1",NA,"1","1",NA,5,3,2,4,5,5,3,5,6,3,5,3,5,5,5,3,4,3,"9","54","84","2","4",NA,"PhD Students"
"55","5/14/2014 10:48","5/14/2014 11:01","1",NA,"Established","1","1",NA,"1","1",NA,6,3,2,5,5,4,5,5,5,4,6,6,6,5,4,2,3,2,"82","42","75","2","5",NA,"Established Scientists"
"56","5/14/2014 11:00","5/14/2014 11:06","1",NA,"Early","1","1",NA,"1","6",NA,7,7,5,7,7,7,7,7,7,2,4,2,7,6,7,7,7,3,"17","61","90","1","5",NA,"Early-career Scientists"
"57","5/14/2014 11:01","5/14/2014 11:08","1",NA,"PhD","1","1",NA,"2",NA,"1",4,4,3,5,6,5,4,5,6,2,6,4,6,2,2,5,3,2,"36","68","96","1","5",NA,"PhD Students"
"59","5/14/2014 10:49","5/14/2014 11:18","1",NA,"Established","1","1",NA,"1","2",NA,2,1,3,1,5,3,3,1,1,1,1,4,3,2,6,1,1,1,"65","21","49","1","4",NA,"Established Scientists"
"60","5/14/2014 11:24","5/14/2014 11:29","1",NA,"PhD","1","1",NA,"1","1",NA,2,4,3,4,4,4,2,4,5,6,2,2,7,6,3,3,6,1,"82","50","76","2","4",NA,"PhD Students"
"61","5/14/2014 11:24","5/14/2014 11:31","1",NA,"PhD","1","1",NA,"1","1",NA,4,4,4,7,6,7,6,4,6,4,6,6,5,5,5,5,6,3,"9","47","74","1","4",NA,"PhD Students"
"64","5/14/2014 11:24","5/14/2014 11:40","1",NA,"Established","1","1",NA,"1","1",NA,5,3,5,2,5,5,5,3,3,2,1,2,5,6,6,3,5,3,"60","40","79","1","5",NA,"Established Scientists"
"65","5/14/2014 11:36","5/14/2014 11:42","1",NA,"Early","1","1",NA,"1","1",NA,4,3,3,4,6,4,3,5,5,3,3,3,5,4,4,4,5,4,"172","57","88","1","5",NA,"Early-career Scientists"
"66","5/14/2014 11:24","5/14/2014 11:47","1",NA,"Established","1","1",NA,"1","1",NA,6,6,2,6,6,5,4,6,4,2,4,2,5,7,2,5,5,6,"178","58","90","1","4",NA,"Established Scientists"
"67","5/14/2014 11:48","5/14/2014 11:53","1",NA,"Early","1","1",NA,"1","1",NA,3,5,3,4,6,5,3,3,4,2,4,3,4,2,4,3,5,2,"122","52","81","1","4",NA,"Early-career Scientists"
"69","5/14/2014 12:03","5/14/2014 12:08","1",NA,"Established","1","1",NA,"1","6",NA,7,5,4,4,7,7,6,3,5,4,4,5,7,5,7,7,6,6,"84","62","92","1","5",NA,"Established Scientists"
"70","5/14/2014 10:19","5/14/2014 12:08","1",NA,"PhD","1","1",NA,"1","1",NA,5,7,3,7,7,7,7,7,7,5,3,3,7,7,7,7,6,2,"36","39","72","1","4",NA,"PhD Students"
"71","5/14/2014 12:06","5/14/2014 12:09","1",NA,"Established","1","1",NA,"1","1",NA,5,5,5,7,7,6,3,6,6,2,4,3,5,5,5,3,2,2,"169","62","91","1","5",NA,"Established Scientists"
"72","5/14/2014 12:07","5/14/2014 12:13","1",NA,"PhD","1","1",NA,"1","1",NA,6,6,2,5,6,6,5,6,6,6,5,4,6,6,6,3,6,6,"122","37","88","2","4",NA,"PhD Students"
"73","5/14/2014 12:11","5/14/2014 12:14","1",NA,"Early","1","1",NA,"1","1",NA,7,7,7,7,7,7,7,7,7,5,3,3,7,7,7,5,5,3,"185","59","87","1","4",NA,"Early-career Scientists"
"74","5/14/2014 12:06","5/14/2014 12:15","1",NA,"PhD","1","1",NA,"1","1",NA,NA,2,4,5,5,5,3,3,3,3,2,2,5,3,6,3,5,6,"187","46","82","1","4",NA,"PhD Students"
"75","5/14/2014 12:15","5/14/2014 12:17","1",NA,"Early","1","1",NA,"1","1",NA,6,6,6,6,6,6,6,6,6,2,4,6,7,6,7,6,4,2,"187","58","86","1","4",NA,"Early-career Scientists"
"76","5/14/2014 12:15","5/14/2014 12:20","1",NA,"PhD","1","1",NA,"1","1",NA,5,6,4,5,7,6,5,6,6,2,6,4,6,6,6,6,6,3,"36","38",NA,"1","4",NA,"PhD Students"
"77","5/14/2014 12:18","5/14/2014 12:23","1",NA,"Established","1","1",NA,"1","1",NA,5,6,6,6,6,6,5,4,5,5,5,5,6,6,6,5,5,5,"187","45","78","1","4",NA,"Established Scientists"
"79","5/14/2014 12:24","5/14/2014 12:31","1",NA,"Early","1","1",NA,"1","1",NA,5,6,3,6,5,6,6,5,5,4,4,4,6,6,6,2,3,4,"169","49","78","1","4",NA,"Early-career Scientists"
"82","5/14/2014 12:26","5/14/2014 12:39","1",NA,"Established","1","1",NA,"1","1",NA,3,3,5,4,2,4,4,4,NA,NA,2,NA,2,2,2,6,4,2,"84","49","81","1","4",NA,"Established Scientists"
"84","5/14/2014 12:33","5/14/2014 12:45","1",NA,"PhD","1","1",NA,"1","1",NA,2,6,3,6,4,7,6,5,6,6,1,3,7,7,6,7,7,2,"136","39","78","2","4",NA,"PhD Students"
"85","5/14/2014 12:40","5/14/2014 12:46","1",NA,"Established","1","1",NA,"1","1",NA,6,7,2,7,7,7,7,6,7,5,3,4,7,6,6,6,7,3,"84","49","78","2","4",NA,"Established Scientists"
"86","5/14/2014 12:50","5/14/2014 12:55","1",NA,"Early","1","1",NA,"1","1",NA,5,6,3,6,7,6,6,7,7,5,6,6,7,7,7,7,6,5,"185","61","90","1","5",NA,"Early-career Scientists"
"87","5/14/2014 12:52","5/14/2014 12:56","1",NA,"Established","1","1",NA,"1","1",NA,4,5,5,5,6,6,3,3,5,5,6,5,5,3,3,4,3,4,"137","54","86","1","5",NA,"Established Scientists"
"88","5/14/2014 12:51","5/14/2014 12:57","1",NA,"PhD","1","1",NA,"1","1",NA,3,4,3,4,4,4,4,7,6,4,3,4,5,4,4,4,4,4,"187","56","84","2","5",NA,"PhD Students"
"89","5/14/2014 12:52","5/14/2014 13:01","1",NA,"Established","1","1",NA,"1","1",NA,5,6,2,4,7,6,6,6,4,6,6,4,4,6,6,6,2,2,"16","32","65","1","4",NA,"Established Scientists"
"90","5/14/2014 12:53","5/14/2014 13:01","1",NA,"Early","1","1",NA,"1","1",NA,4,4,5,6,4,6,4,7,4,6,7,6,6,7,6,6,5,6,"158","61","91","1","4",NA,"Early-career Scientists"
"91","5/14/2014 13:08","5/14/2014 13:15","1",NA,"PhD","1","1",NA,"1","1",NA,3,4,3,5,3,5,3,5,5,2,5,4,5,4,4,4,2,3,"187","64","94","1","5",NA,"PhD Students"
"92","5/14/2014 13:15","5/14/2014 13:21","1",NA,"Early","1","1",NA,"1","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"187","50","78","1","5",NA,"Early-career Scientists"
"93","5/14/2014 13:19","5/14/2014 13:24","1",NA,"Established","1","1",NA,"1","1",NA,5,5,3,6,6,6,4,6,6,2,4,4,6,5,6,5,4,2,"84","53","83","1","4",NA,"Established Scientists"
"94","5/14/2014 13:19","5/14/2014 13:31","1",NA,"PhD","1","1",NA,"1","1",NA,5,6,6,5,6,6,6,4,4,4,4,5,6,7,4,4,4,5,"80","60","92","1","4",NA,"PhD Students"
"95","5/14/2014 13:32","5/14/2014 13:35","1",NA,"PhD","1","1",NA,"1","1",NA,2,3,3,6,5,7,5,5,5,2,2,4,6,5,5,6,5,4,"187","49","76","1","4",NA,"PhD Students"
"96","5/14/2014 13:28","5/14/2014 13:36","1",NA,"Early","1","1",NA,"1","1",NA,2,5,5,6,5,6,3,5,6,2,2,5,5,5,6,2,4,2,"122","41","74","1","4",NA,"Early-career Scientists"
"98","5/14/2014 13:35","5/14/2014 13:40","1",NA,"Early","1","1",NA,"1","1",NA,6,6,2,5,5,5,4,6,6,4,1,4,7,6,7,5,4,4,"185","51","77","1","4",NA,"Early-career Scientists"
"99","5/14/2014 13:38","5/14/2014 13:46","1",NA,"Established","1","1",NA,"1","1",NA,6,6,4,6,6,6,4,4,5,6,6,4,6,7,7,6,5,5,"143","19","47","1","4",NA,"Established Scientists"
"100","5/14/2014 13:49","5/14/2014 13:53","1",NA,"Established","1","1",NA,"1","1",NA,3,3,2,4,4,5,4,5,5,2,5,5,6,7,7,3,3,2,"122","47","76","1","4",NA,"Established Scientists"
"101","5/14/2014 13:52","5/14/2014 13:55","1",NA,"Early","1","1",NA,"1","1",NA,3,2,7,5,4,6,3,1,1,1,1,3,6,4,6,1,3,1,"31","55","82","1","4",NA,"Early-career Scientists"
"102","5/14/2014 13:48","5/14/2014 13:55","1",NA,"Early","1","1",NA,"1","1",NA,5,3,2,6,7,6,6,5,5,4,4,4,5,5,3,4,4,1,"84","45","74","1","4",NA,"Early-career Scientists"
"103","5/14/2014 13:56","5/14/2014 14:02","1",NA,"Established","1","1",NA,"1","1",NA,6,5,6,6,6,7,6,7,6,4,5,6,7,6,7,7,2,2,"161","48","78","2","4",NA,"Established Scientists"
"104","5/14/2014 13:57","5/14/2014 14:03","1",NA,"PhD","1","1",NA,"1","1",NA,6,5,3,5,6,5,5,6,5,2,4,4,6,6,6,6,5,5,"187","46","83","1","4",NA,"PhD Students"
"105","5/14/2014 14:00","5/14/2014 14:03","1",NA,"Established","1","1",NA,"1","1",NA,7,7,5,5,5,7,3,7,7,3,2,4,7,7,7,7,7,3,"60","47","83","2","5",NA,"Established Scientists"
"107","5/14/2014 14:04","5/14/2014 14:08","1",NA,"PhD","1","1",NA,"1","1",NA,5,6,2,5,6,6,4,6,6,6,5,5,6,6,NA,4,6,6,"83","44","72","1","4",NA,"PhD Students"
"108","5/14/2014 14:06","5/14/2014 14:08","1",NA,"PhD","1","1",NA,"1","1",NA,6,6,6,5,5,5,5,6,6,5,5,5,6,6,6,7,4,3,"187","24","50","1","4",NA,"PhD Students"
"109","5/14/2014 14:18","5/14/2014 14:22","1",NA,"Early","1","1",NA,"1","1",NA,5,2,5,5,5,5,5,6,6,2,2,4,5,6,2,3,5,2,"24","57","90","1","5",NA,"Early-career Scientists"
"110","5/14/2014 14:20","5/14/2014 14:25","1",NA,"PhD","1","1",NA,"1","1",NA,6,6,4,5,6,6,5,6,6,6,2,5,7,7,7,6,6,6,"104","45","74","1","4",NA,"PhD Students"
"111","5/14/2014 14:21","5/14/2014 14:28","1",NA,"Early","1","1",NA,"1","1",NA,4,6,4,4,3,4,4,6,7,3,2,3,4,3,5,7,5,3,"24","42","81","2","4",NA,"Early-career Scientists"
"112","5/14/2014 14:24","5/14/2014 14:29","1",NA,"Early","1","1",NA,"1","1",NA,4,4,4,4,4,4,4,4,4,1,2,1,4,4,4,4,4,4,"187","61","88","2","4",NA,"Early-career Scientists"
"113","5/14/2014 14:27","5/14/2014 14:38","1",NA,"PhD","1","1",NA,"1","1",NA,3,5,3,6,5,6,5,5,5,5,5,5,5,3,3,3,5,3,"31","43","72","1","4",NA,"PhD Students"
"114","5/14/2014 14:39","5/14/2014 14:41","1",NA,"Established","1","1",NA,"1","1",NA,5,3,3,4,5,5,3,5,6,4,5,5,6,6,7,4,4,3,"187","59","89","1","5",NA,"Established Scientists"
"116","5/14/2014 14:55","5/14/2014 14:59","1",NA,"Established","1","1",NA,"1","1",NA,6,5,5,6,6,6,5,7,6,5,5,6,6,6,6,7,5,4,"187","49","78","1","4",NA,"Established Scientists"
"119","5/14/2014 15:10","5/14/2014 15:13","1",NA,"Early","1","1",NA,"1","1",NA,5,5,2,6,5,4,5,6,6,3,2,2,6,5,6,6,6,6,"138","60","91","2","5",NA,"Early-career Scientists"
"120","5/14/2014 15:08","5/14/2014 15:16","1",NA,"Early","1","1",NA,"1","1",NA,5,6,4,6,6,6,6,6,6,5,7,5,6,5,5,6,5,4,"31","35","70","1","4",NA,"Early-career Scientists"
"121","5/14/2014 15:20","5/14/2014 15:26","1",NA,"PhD","1","1",NA,"1","1",NA,5,6,3,6,6,6,5,6,6,1,5,4,5,6,6,5,6,3,"187","62","89","1","5",NA,"PhD Students"
"122","5/14/2014 15:23","5/14/2014 15:26","1",NA,"Established","1","1",NA,"1","1",NA,3,3,3,6,7,6,3,6,5,2,6,6,6,3,6,2,2,2,"187","66","93","1","5",NA,"Established Scientists"
"123","5/14/2014 15:19","5/14/2014 15:27","1",NA,"Established","1","1",NA,"1","1",NA,6,6,6,6,7,6,6,7,6,6,5,5,7,7,7,6,6,5,"31","34","72","1","4",NA,"Established Scientists"
"124","5/14/2014 15:33","5/14/2014 15:36","1",NA,"Early","1","1",NA,"1","1",NA,5,5,2,6,6,6,4,5,4,4,4,4,6,4,5,4,4,2,"185","46","70","1","4",NA,"Early-career Scientists"
"126","5/14/2014 15:49","5/14/2014 15:51","1",NA,"Established","1","1",NA,"1","6",NA,5,5,5,6,5,6,5,3,5,6,5,5,3,3,3,7,7,2,"185",NA,"93",NA,NA,NA,"Established Scientists"
"127","5/14/2014 15:48","5/14/2014 15:53","1",NA,"PhD","1","1",NA,"1","1",NA,4,4,3,5,6,5,5,5,6,5,3,3,5,6,6,4,4,2,"168","26","64","1","4",NA,"PhD Students"
"128","5/14/2014 15:51","5/14/2014 15:56","1",NA,"PhD","1","1",NA,"1","1",NA,3,6,5,6,6,7,6,6,5,4,5,5,5,5,4,5,5,4,"187","55","82","1","4",NA,"PhD Students"
"129","5/14/2014 16:04","5/14/2014 16:08","1",NA,"Early","1","1",NA,"1","1",NA,6,5,3,5,5,5,5,5,5,3,6,4,5,5,5,3,3,4,"187",NA,NA,"1","4",NA,"Early-career Scientists"
"130","5/14/2014 16:07","5/14/2014 16:18","1",NA,"Early","1","1",NA,"1","1",NA,6,4,3,2,2,2,3,3,3,2,5,2,3,3,3,3,4,3,"163","58","88","1","5",NA,"Early-career Scientists"
"131","5/14/2014 16:07","5/14/2014 16:20","1",NA,"PhD","1","1",NA,"1","1",NA,6,6,5,5,6,6,6,6,6,7,6,5,6,6,5,6,6,1,"80","50","82","1","4",NA,"PhD Students"
"132","5/14/2014 16:00","5/14/2014 16:22","1",NA,"Established","1","1",NA,"1","1",NA,4,5,3,7,4,6,4,4,6,2,4,4,7,7,7,1,7,3,"84","63","92","2","4",NA,"Established Scientists"
"133","5/14/2014 16:20","5/14/2014 16:24","1",NA,"Established","1","1",NA,"1","1",NA,6,6,2,5,6,6,5,6,5,2,2,4,6,6,6,6,6,3,"187","39","68","2","4",NA,"Established Scientists"
"134","5/14/2014 16:19","5/14/2014 16:25","1",NA,"PhD","1","1",NA,"1","1",NA,5,5,5,5,5,5,5,5,5,4,5,4,5,6,6,6,5,5,"187","50","85","2","5",NA,"PhD Students"
"135","5/14/2014 16:32","5/14/2014 16:37","1",NA,"Early","1","1",NA,"1","1",NA,3,3,1,5,5,6,3,5,5,2,5,5,6,6,6,3,3,1,"187","38","63","2","4",NA,"Early-career Scientists"
"136","5/14/2014 16:46","5/14/2014 16:49","1",NA,"Early","1","1",NA,"1","1",NA,6,6,4,6,6,6,6,6,6,4,6,6,6,6,6,5,5,4,"187","23","49","1","4",NA,"Early-career Scientists"
"137","5/14/2014 16:40","5/14/2014 16:53","1",NA,"PhD","1","1",NA,"1","1",NA,5,5,5,6,5,6,5,4,5,5,6,5,5,4,4,3,4,2,"122","42","71","1","5",NA,"PhD Students"
"138","5/14/2014 16:56","5/14/2014 16:59","1",NA,"Established","1","1",NA,"1","1",NA,5,5,5,6,6,6,4,7,5,3,5,4,7,7,7,5,5,4,"187","44","72","1","4",NA,"Established Scientists"
"139","5/14/2014 16:57","5/14/2014 17:02","1",NA,"PhD","1","1",NA,"1","1",NA,6,6,3,6,6,5,4,5,6,4,5,5,6,6,6,6,5,4,"187","28","57","1","4",NA,"PhD Students"
"140","5/14/2014 17:01","5/14/2014 17:08","1",NA,"Established","1","1",NA,"1","1",NA,6,5,5,6,5,6,6,6,5,6,5,6,6,3,5,3,6,3,"187","47","86","1","5",NA,"Established Scientists"
"141","5/14/2014 17:04","5/14/2014 17:13","1",NA,"PhD","1","1",NA,"1","1",NA,3,5,3,4,5,5,4,5,5,5,3,3,5,5,4,5,6,5,"163","56","89","1","5",NA,"PhD Students"
"142","5/14/2014 17:15","5/14/2014 17:18","1",NA,"Early","1","1",NA,"1","1",NA,5,5,3,5,5,6,5,5,5,4,4,4,5,4,4,4,3,2,"187","34","65","1","4",NA,"Early-career Scientists"
"143","5/14/2014 17:00","5/14/2014 17:23","1",NA,"Early","1","1",NA,"1","1",NA,2,6,3,6,5,5,6,6,6,3,2,3,7,6,3,6,5,2,"24","62","93","1","4",NA,"Early-career Scientists"
"144","5/14/2014 17:30","5/14/2014 17:36","1",NA,"Established","1","1",NA,"1","1",NA,3,4,3,6,6,6,5,6,4,5,6,6,6,6,6,6,5,2,"187","61","88","1","4",NA,"Established Scientists"
"145","5/14/2014 17:36","5/14/2014 17:39","1",NA,"PhD","1","1",NA,"1","1",NA,4,3,3,5,6,4,3,5,5,1,4,5,6,6,6,4,5,4,"187","62","95","1","5",NA,"PhD Students"
"146","5/14/2014 17:41","5/14/2014 17:43","1",NA,"Early","1","1",NA,"1","1",NA,6,6,5,7,6,7,5,6,6,5,6,5,6,5,7,4,5,6,"187","63","93","1","5",NA,"Early-career Scientists"
"147","5/14/2014 17:49","5/14/2014 17:54","1",NA,"PhD","1","1",NA,"1","1",NA,4,3,5,4,4,4,4,3,6,4,2,2,2,6,5,2,6,3,"163","51","83","2","4",NA,"PhD Students"
"149","5/14/2014 17:44","5/14/2014 18:18","1",NA,"Established","1","1",NA,"1","1",NA,6,4,6,6,6,5,3,6,6,5,6,5,7,7,7,7,6,3,"8","30","61","1","4",NA,"Established Scientists"
