V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,Screening,Condition,Intro,Consent,Reason_NC,CheckGroup,Check_Sc,Check_PhdS,Intro_ECS,Q1_ECS_Ob,Q2_ECS_Ob,Q3_ECS_Ob,Q4_ECS_Ra,Q5_ECS_Ra,Q6_ECS_Ra,Q7_ECS_Op,Q8_ECS_Op,Q9_ECS_Op,Q10_ECS_IQ,Q11_ECS_IQ,Q12_ECS_IQ,Q13_ECS_In,Q14_ECS_In,Q15_ECS_In,Q16_ECS_Co,Q17_ECS_Co,Q18_ECS_Co,Intro_ES,Q1_ES_Ob,Q2_ES_Ob,Q3_ES_Ob,Q4_ES_Ra,Q5_ES_Ra,Q6_ES_Ra,Q7_ES_Op,Q8_ES_Op,Q9_ES_Op,Q10_ES_IQ,Q11_ES_IQ,Q12_ES_IQ,Q13_ES_In,Q14_ES_In,Q15_ES_In,Q16_ES_Co,Q17_ES_Co,Q18_ES_Co,Intro_PhDs,Q1_PhD_Ob,Q2_PhD_Ob,Q3_PhD_Ob,Q4_PhD_Ra,Q5_PhD_Ra,Q6_PhD_Ra,Q7_PhD_Op,Q8_PhD_Op,Q9_PhD_Op,Q10_PhD_IQ,Q11_PhD_IQ,Q12_PhD_IQ,Q13_PhD_In,Q14_PhD_In,Q15_PhD_In,Q16_PhD_Co,Q17_PhD_Co,Q18_PhD_Co,Intro_dem,Dem_countr,Dem_y_born,Dem_ac_age,Dem_gender,Dem_tenure,Feedback,DO-BR-FL_8,DO-BL-Early-careerscientists,DO-BL-Establishedscientists,DO-BL-PhD_students,LocationLatitude,LocationLongitude,LocationAccuracy
R_1QPQPi1YKaQ0PAN,Default Response Set,,,,,0,5/14/2014 10:05,5/14/2014 10:09,1,,Established,1,1,,1,1,,,,,,,,,,,,,,,,,,,,,1,6,6,6,5,4,5,6,3,5,1,1,1,7,7,7,7,6,2,,,,,,,,,,,,,,,,,,,,1,61,54,82,1,4,,,,,,,,
R_9vHdsRTdqZkAkTj,Default Response Set,,,,,0,5/14/2014 10:05,5/14/2014 10:10,1,,Early,1,1,,1,1,,1,6,6,4,6,6,6,6,6,6,4,4,4,4,4,4,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,9,62,93,2,5,,,,,,,,
R_6VCfX19bVnwk0Rv,Default Response Set,,,,,0,5/14/2014 10:04,5/14/2014 10:10,1,,PhD,1,1,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,6,6,4,7,7,6,6,6,7,6,5,5,6,5,6,4,6,1,1,161,26,54,1,4,,,,,,,,
R_8AELIc9mtfvowpn,Default Response Set,,,,,0,5/14/2014 10:03,5/14/2014 10:10,1,,Established,1,1,,1,1,,,,,,,,,,,,,,,,,,,,,1,2,5,4,5,5,5,2,3,4,6,6,4,6,5,5,6,5,2,,,,,,,,,,,,,,,,,,,,1,163,63,91,1,4,,,,,,,,
R_ezHdyQS73WuZHY9,Default Response Set,,,,,0,5/14/2014 10:06,5/14/2014 10:10,1,,PhD,1,1,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,5,3,4,5,3,5,3,3,3,6,3,5,5,3,3,3,3,2,1,156,66,93,1,5,,,,,,,,
R_3LbjmvABAL0zNRj,Default Response Set,,,,,0,5/14/2014 10:05,5/14/2014 10:11,1,,PhD,1,1,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,5,6,3,6,6,6,6,6,7,4,5,4,7,6,6,3,4,4,1,139,40,69,1,4,,,,,,,,
R_7R3viC3oaFgmzJj,Default Response Set,,,,,0,5/14/2014 10:08,5/14/2014 10:12,1,,PhD,1,1,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,6,5,4,6,4,5,6,6,4,5,4,4,4,7,6,6,5,4,1,60,64,94,1,5,,,,,,,,
R_0v7q28i8UZdWZVj,Default Response Set,,,,,0,5/14/2014 10:08,5/14/2014 10:12,1,,Early,1,1,,1,1,,1,5,6,4,5,4,6,5,6,6,3,3,5,6,4,6,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,128,47,76,1,4,,,,,,,,
R_0fGuXPHJB58qYTz,Default Response Set,,,,,0,5/14/2014 10:09,5/14/2014 10:14,1,,Established,1,1,,2,,1,,,,,,,,,,,,,,,,,,,,1,5,3,2,4,3,5,3,6,2,1,1,1,6,3,5,5,2,3,,,,,,,,,,,,,,,,,,,,1,42,62,98,1,5,,,,,,,,
R_6DJAusy111DdZQ1,Default Response Set,,,,,0,5/14/2014 10:12,5/14/2014 10:14,1,Screened_out,,1,1,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_8vu80AJASPzC6Nv,Default Response Set,,,,,0,5/14/2014 10:11,5/14/2014 10:15,1,,PhD,1,1,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,6,4,2,6,6,6,2,6,6,4,6,6,6,7,7,5,5,2,1,185,28,55,1,4,,,,,,,,
R_3OsL6uGabYtKi9v,Default Response Set,,,,,0,5/14/2014 10:09,5/14/2014 10:15,1,,Established,1,1,,1,1,,,,,,,,,,,,,,,,,,,,,1,5,5,1,6,7,6,3,3,3,5,5,4,5,3,3,2,4,2,,,,,,,,,,,,,,,,,,,,1,61,61,87,1,5,,,,,,,,
R_5cjCiab1p38zsFf,Default Response Set,,,,,0,5/14/2014 10:04,5/14/2014 10:15,1,,Established,1,1,,1,1,,,,,,,,,,,,,,,,,,,,,1,4,5,3,5,5,5,6,4,5,5,4,6,6,5,6,3,4,2,,,,,,,,,,,,,,,,,,,,1,183,47,75,1,4,,,,,,,,
R_5yAVxJHxHMrsrfn,Default Response Set,,,,,0,5/14/2014 10:16,5/14/2014 10:17,1,Screened_out,,1,1,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_cJ7DJOaHJZFffIp,Default Response Set,,,,,0,5/14/2014 10:12,5/14/2014 10:19,1,,PhD,1,1,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,7,6,2,6,6,7,6,6,3,6,6,1,6,6,3,6,6,3,1,179,53,90,1,4,,,,,,,,
R_cA96w7f8uEntvrD,Default Response Set,,,,,0,5/14/2014 10:12,5/14/2014 10:19,1,,Early,1,1,,1,1,,1,6,6,2,6,6,6,6,1,6,6,3,2,6,6,6,2,6,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,163,57,88,2,5,,,,,,,,
R_7X8Q55GMHCUd2kZ,Default Response Set,,,,,0,5/14/2014 10:17,5/14/2014 10:20,1,,Established,1,1,,1,1,,,,,,,,,,,,,,,,,,,,,1,6,6,6,6,6,6,6,6,6,6,7,5,6,6,6,6,5,6,,,,,,,,,,,,,,,,,,,,1,67,58,86,1,4,,,,,,,,
R_eXNuAj9FCMb2vl3,Default Response Set,,,,,0,5/14/2014 10:18,5/14/2014 10:22,1,,Early,1,1,,1,1,,1,6,6,4,5,7,6,6,2,7,5,6,5,6,6,7,2,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,178,46,75,1,4,,,,,,,,
R_bJduzvqIluKZzpz,Default Response Set,,,,,0,5/14/2014 10:20,5/14/2014 10:23,1,,Established,1,1,,1,1,,,,,,,,,,,,,,,,,,,,,1,4,3,3,6,6,6,5,3,5,2,2,4,5,4,6,3,4,4,,,,,,,,,,,,,,,,,,,,1,48,55,82,1,4,,,,,,,,
R_aVoKoXKJJhzLQoZ,Default Response Set,,,,,0,5/14/2014 10:20,5/14/2014 10:24,1,Screened_out,,1,1,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_86C4VBUXIb1sPgV,Default Response Set,,,,,0,5/14/2014 10:23,5/14/2014 10:27,1,,PhD,1,1,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,3,6,2,6,3,3,6,3,5,1,1,2,7,7,7,6,4,3,1,163,43,75,1,4,,,,,,,,
R_3I2DCEHaMCXwBMh,Default Response Set,,,,,0,5/14/2014 10:22,5/14/2014 10:29,1,,Established,1,1,,1,1,,,,,,,,,,,,,,,,,,,,,1,7,7,7,7,7,7,7,7,7,7,5,5,6,5,7,7,7,5,,,,,,,,,,,,,,,,,,,,1,36,53,84,1,5,,,,,,,,
R_0IZehYjBrGZoThH,Default Response Set,,,,,0,5/14/2014 10:24,5/14/2014 10:32,1,,Early,1,1,,1,1,,1,4,5,4,5,5,5,3,5,6,4,5,5,4,4,4,4,5,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,84,50,79,1,4,,,,,,,,
R_0oiF2E1nSxHe14p,Default Response Set,,,,,0,5/14/2014 10:31,5/14/2014 10:34,1,,Early,1,1,,1,1,,1,4,4,4,2,4,4,4,2,4,4,5,4,4,4,4,4,4,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,137,52,82,1,5,,,,,,,,
R_7WKg4CnwmeZ2SfX,Default Response Set,,,,,0,5/14/2014 10:31,5/14/2014 10:34,1,,Established,1,1,,1,1,,,,,,,,,,,,,,,,,,,,,1,6,6,6,6,6,5,6,5,6,5,5,2,7,7,7,7,5,5,,,,,,,,,,,,,,,,,,,,1,151,60,90,1,5,,,,,,,,
R_dif9WhmqsD40FG5,Default Response Set,,,,,0,5/14/2014 10:31,5/14/2014 10:34,1,,Early,1,1,,1,1,,1,6,6,3,6,7,6,6,6,7,5,2,3,7,7,7,7,6,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,101,60,89,1,5,,,,,,,,
R_5vB0a8kLBnamDjL,Default Response Set,,,,,0,5/14/2014 10:29,5/14/2014 10:35,1,,Established,1,1,,2,,1,,,,,,,,,,,,,,,,,,,,1,6,7,4,5,6,7,6,6,7,3,3,7,7,7,7,6,7,3,,,,,,,,,,,,,,,,,,,,1,151,64,95,1,4,,,,,,,,
R_eg4Reh8CROk608R,Default Response Set,,,,,0,5/14/2014 10:19,5/14/2014 10:35,1,,PhD,1,1,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,6,5,6,4,6,5,4,6,5,2,6,4,6,5,6,3,5,3,1,137,52,92,2,4,,,,,,,,
R_3mTDit45CJTL6rX,Default Response Set,,,,,0,5/14/2014 10:33,5/14/2014 10:37,1,,PhD,1,1,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,3,3,2,3,5,5,5,5,5,6,6,3,5,5,5,3,5,2,1,82,47,71,2,4,,,,,,,,
R_0k8VLwM4wbmK1DL,Default Response Set,,,,,0,5/14/2014 10:36,5/14/2014 10:37,1,Screened_out,,1,1,,1,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_6D53yNmenIZ4XOZ,Default Response Set,,,,,0,5/14/2014 10:35,5/14/2014 10:38,1,,Established,1,1,,1,1,,,,,,,,,,,,,,,,,,,,,1,5,3,3,6,5,6,3,3,3,2,2,5,6,5,4,5,5,1,,,,,,,,,,,,,,,,,,,,1,17,60,88,1,4,,,,,,,,
R_5zmVRS2BQOLOJoh,Default Response Set,,,,,0,5/14/2014 10:35,5/14/2014 10:38,1,Screened_out,,1,1,,1,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_6seKyq1EYhBug73,Default Response Set,,,,,0,5/14/2014 10:34,5/14/2014 10:40,1,,PhD,1,1,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,5,5,6,4,3,6,5,5,5,5,6,3,6,4,5,4,4,6,1,153,47,88,2,4,,,,,,,,
R_aWYQRTllP1xtOtv,Default Response Set,,,,,0,5/14/2014 10:35,5/14/2014 10:42,1,,Early,1,1,,1,1,,1,3,1,2,1,1,2,2,3,6,3,5,3,3,3,2,1,5,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,104,39,84,2,4,,,,,,,,
R_5aNsS01kteBtgFv,Default Response Set,,,,,0,5/14/2014 10:39,5/14/2014 10:45,1,,Established,1,1,,1,1,,,,,,,,,,,,,,,,,,,,,1,6,6,6,5,7,7,6,3,7,2,2,4,6,7,7,5,6,5,,,,,,,,,,,,,,,,,,,,1,137,60,92,2,4,,,,,,,,
R_cCLtRM2w7EQNAK9,Default Response Set,,,,,0,5/14/2014 10:43,5/14/2014 10:47,1,,PhD,1,1,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,3,3,1,7,6,7,3,3,2,3,3,3,3,2,5,3,2,6,1,179,61,92,1,4,,,,,,,,
R_9NtQ17nH5V2mfZz,Default Response Set,,,,,0,5/14/2014 10:33,5/14/2014 10:48,1,,Early,1,1,,1,1,,1,4,5,6,2,2,2,4,6,6,3,3,1,6,4,5,1,5,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,163,50,78,1,4,,,,,,,,
R_dhfKHkK2UiFrJgF,Default Response Set,,,,,0,5/14/2014 10:35,5/14/2014 10:48,1,,PhD,1,1,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,5,5,5,5,5,5,4,3,5,6,5,4,5,5,5,3,4,5,1,86,32,64,2,4,,,,,,,,
R_8izEDQ5jwYaZM33,Default Response Set,,,,,0,5/14/2014 10:48,5/14/2014 10:52,1,,PhD,1,1,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,5,4,4,3,4,5,4,4,5,3,2,2,7,4,6,4,4,3,1,84,46,78,1,4,,,,,,,,
R_55XowN7K8QnrbZH,Default Response Set,,,,,0,5/14/2014 10:43,5/14/2014 10:53,1,,PhD,1,1,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,4,6,4,4,6,4,6,6,6,2,4,5,7,7,7,6,6,3,1,122,47,78,2,4,,,,,,,,
R_202NkPp6xlT70m9,Default Response Set,,,,,0,5/14/2014 10:41,5/14/2014 10:54,1,,Established,1,1,,1,1,,,,,,,,,,,,,,,,,,,,,1,6,5,5,6,5,6,6,6,6,4,5,6,7,6,6,6,6,5,,,,,,,,,,,,,,,,,,,,1,65,32,62,1,4,,,,,,,,
R_3rDgM4nIGomOKWx,Default Response Set,,,,,0,5/14/2014 10:52,5/14/2014 10:55,1,,Early,1,1,,1,1,,1,6,7,5,7,7,6,6,7,7,3,5,5,7,7,7,6,5,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,185,63,90,1,5,,,,,,,,
R_cTT6WkFlNaqSYZf,Default Response Set,,,,,0,5/14/2014 10:54,5/14/2014 10:58,1,,Established,1,1,,1,1,,,,,,,,,,,,,,,,,,,,,1,2,2,2,2,2,2,2,2,2,2,1,2,2,1,2,2,2,1,,,,,,,,,,,,,,,,,,,,1,163,62,94,1,5,,,,,,,,
R_0NxiGgphLOQhpgV,Default Response Set,,,,,0,5/14/2014 10:55,5/14/2014 11:00,1,,PhD,1,1,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,5,3,2,4,5,5,3,5,6,3,5,3,5,5,5,3,4,3,1,9,54,84,2,4,,,,,,,,
R_23NCMXfIqp8X9oV,Default Response Set,,,,,0,5/14/2014 10:48,5/14/2014 11:01,1,,Established,1,1,,1,1,,,,,,,,,,,,,,,,,,,,,1,6,3,2,5,5,4,5,5,5,4,6,6,6,5,4,2,3,2,,,,,,,,,,,,,,,,,,,,1,82,42,75,2,5,,,,,,,,
R_3F5FrweYeCkVBqt,Default Response Set,,,,,0,5/14/2014 11:00,5/14/2014 11:06,1,,Early,1,1,,1,6,,1,7,7,5,7,7,7,7,7,7,2,4,2,7,6,7,7,7,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,17,61,90,1,5,,,,,,,,
R_0pjroi7XHvqzbxz,Default Response Set,,,,,0,5/14/2014 11:01,5/14/2014 11:08,1,,PhD,1,1,,2,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,4,4,3,5,6,5,4,5,6,2,6,4,6,2,2,5,3,2,1,36,68,96,1,5,,,,,,,,
R_4TTJWy2sU94hd1H,Default Response Set,,,,,0,5/14/2014 11:10,5/14/2014 11:11,1,Screened_out,,1,1,,1,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_eRm5fLQi6L8pCCh,Default Response Set,,,,,0,5/14/2014 10:49,5/14/2014 11:18,1,,Established,1,1,,1,2,,,,,,,,,,,,,,,,,,,,,1,2,1,3,1,5,3,3,1,1,1,1,4,3,2,6,1,1,1,,,,,,,,,,,,,,,,,,,,1,65,21,49,1,4,,,,,,,,
R_6kWUUgj0UXHaesR,Default Response Set,,,,,0,5/14/2014 11:24,5/14/2014 11:29,1,,PhD,1,1,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,4,3,4,4,4,2,4,5,6,2,2,7,6,3,3,6,1,1,82,50,76,2,4,,,,,,,,
R_bPH0fyBBbt8NCRL,Default Response Set,,,,,0,5/14/2014 11:24,5/14/2014 11:31,1,,PhD,1,1,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,4,4,4,7,6,7,6,4,6,4,6,6,5,5,5,5,6,3,1,9,47,74,1,4,,,,,,,,
R_412PBEEfFl7Retf,Default Response Set,,,,,0,5/14/2014 11:28,5/14/2014 11:33,1,Screened_out,,1,1,,1,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_9vr5WDDkvdxL81v,Default Response Set,,,,,0,5/14/2014 11:34,5/14/2014 11:35,1,Screened_out,,1,1,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_2951Nsv8XLBixgN,Default Response Set,,,,,0,5/14/2014 11:24,5/14/2014 11:40,1,,Established,1,1,,1,1,,,,,,,,,,,,,,,,,,,,,1,5,3,5,2,5,5,5,3,3,2,1,2,5,6,6,3,5,3,,,,,,,,,,,,,,,,,,,,1,60,40,79,1,5,,,,,,,,
