V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,Respondent_Group,Screening,Intro,Consent,Reason_NC,Check_PhD,CheckGroup,Intro_1,Objectivit_1,Objectivit_2,Objectivit_3,Objectivit_4,Objectivit_5,Objectivit_6,Objectivit_7,Objectivit_8,Objectivit_9,Objectivit_10,Rationalit_1,Rationalit_2,Rationalit_3,Rationalit_4,Rationalit_5,Rationalit_6,Rationalit_7,Rationalit_8,Rationalit_9,Rationalit_10,Open-mind_1,Open-mind_2,Open-mind_3,Open-mind_4,Open-mind_5,Open-mind_6,Open-mind_7,Open-mind_8,Open-mind_9,Open-mind_10,Intelligen_1,Intelligen_2,Intelligen_3,Intelligen_4,Intelligen_5,Intelligen_6,Intelligen_7,Intelligen_8,Intelligen_9,Intelligen_10,Integrity_1,Integrity_2,Integrity_3,Integrity_4,Integrity_5,Integrity_6,Integrity_7,Integrity_8,Integrity_9,Integrity_10,Competitiv_1,Competitiv_2,Competitiv_3,Competitiv_4,Competitiv_5,Competitiv_6,Competitiv_7,Competitiv_8,Competitiv_9,Competitiv_10,Dem_intro,Dem_countr,Dem_born,Dem_yr_PhD,Dem_gender,Dem_relig,Feedback,LocationLatitude,LocationLongitude,LocationAccuracy
R_4VCdtCorJ1LQhBb,Default Response Set,,,,,0,5/14/2014 10:06,5/14/2014 10:44,1,Scientists,,1,1,,1,1,1,60,50,70,90,90,90,70,90,80,80,70,40,50,96,96,80,70,96,96,90,71,70,85,90,60,59,59,85,60,94,90,59,70,90,70,70,60,95,70,90,50,40,50,90,80,90,50,95,80,90,92,92,49,70,49,49,91,90,81,70,1,76,63,92,1,41,,,,
R_1CjLBJ9XWbMjAzz,Default Response Set,,,,,0,5/14/2014 10:45,5/14/2014 10:50,1,Scientists,,1,1,,1,1,1,87,9,18,89,92,81,19,88,82,78,92,20,18,82,100,60,18,91,83,100,82,17,97,49,51,19,48,49,53,84,100,36,38,100,83,71,70,100,85,100,40,13,13,84,84,85,8,74,83,83,94,100,100,100,50,100,100,79,100,93,1,138,52,78,2,39,,,,
R_a3PXUlkYtVnrI3j,Default Response Set,,,,,0,5/14/2014 10:53,5/14/2014 11:00,1,Scientists,,1,1,,1,1,1,36,18,56,57,59,43,75,71,81,68,43,51,50,61,87,40,45,72,83,92,57,68,60,67,50,18,33,47,15,83,80,30,72,78,69,48,58,77,65,82,40,0,35,87,55,81,81,57,59,72,33,100,99,21,31,23,28,33,4,85,1,187,46,73,1,41,,,,
R_6swpuwWm2pOueyN,Default Response Set,,,,,0,5/14/2014 10:08,5/14/2014 11:02,1,Scientists,,1,1,,1,1,1,9,5,5,92,50,71,19,91,91,91,39,3,13,81,60,80,49,39,60,91,20,9,9,60,60,39,20,19,39,80,29,9,14,39,71,50,50,50,50,100,14,2,3,91,49,95,9,50,71,95,40,4,9,91,90,39,30,10,39,90,1,67,53,81,1,43,,,,
R_42yPAJ9K5xO1JOJ,Default Response Set,,,,,0,5/14/2014 10:59,5/14/2014 11:09,1,Scientists,,1,1,,1,1,1,30,90,50,90,60,81,49,81,80,91,19,50,9,10,19,19,10,19,9,29,60,59,70,49,39,38,38,70,39,81,81,80,81,91,9,9,29,81,90,91,69,29,71,70,19,9,69,49,28,80,59,72,39,81,39,9,40,50,39,100,1,80,45,93,1,42,,,,
R_40Xhq6qQ4sRtt3v,Default Response Set,,,,,0,5/14/2014 11:15,5/14/2014 11:16,1,Scientists,Screened_out,1,1,,1,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_4GwIBouGEkjE9M1,Default Response Set,,,,,0,5/14/2014 11:19,5/14/2014 11:19,1,Scientists,Screened_out,1,1,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_9WvPuDrqMdylAMJ,Default Response Set,,,,,0,5/14/2014 11:30,5/14/2014 11:32,1,Scientists,Screened_out,1,1,,1,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_8k6OnzyPn5lzpsN,Default Response Set,,,,,0,5/14/2014 11:50,5/14/2014 11:55,1,Scientists,,1,1,,1,1,1,10,9,79,19,100,51,32,89,82,91,22,10,12,71,94,82,81,49,90,92,40,72,20,30,0,7,9,62,81,59,90,40,31,71,19,10,20,21,82,100,29,10,40,89,81,92,30,69,82,91,91,100,100,49,19,100,31,49,70,70,1,187,37,64,1,42,,,,
R_eWdGfvwotR0Gt1P,Default Response Set,,,,,0,5/14/2014 11:52,5/14/2014 11:58,1,Scientists,,1,1,,1,1,1,54,35,46,74,76,45,74,75,74,66,75,34,66,66,76,43,65,87,83,77,54,34,55,44,32,36,43,72,65,54,86,68,75,83,76,76,65,94,90,96,64,36,54,73,75,85,55,86,78,85,77,86,73,66,55,58,75,56,57,67,1,9,40,87,2,38,,,,
R_a8Wn6hmS4GVzX4p,Default Response Set,,,,,0,5/14/2014 11:48,5/14/2014 12:00,1,Scientists,,1,1,,1,1,1,81,50,49,70,79,81,81,91,80,80,78,39,38,71,92,81,81,92,70,81,80,64,65,49,19,50,19,81,69,81,70,60,60,65,70,58,70,80,70,91,70,49,50,71,59,49,29,81,50,70,81,81,81,71,70,82,90,70,81,70,1,185,43,80,2,44,,,,
R_2ftTDrg2ZbpnqNT,Default Response Set,,,,,0,5/14/2014 12:07,5/14/2014 12:25,1,Scientists,,1,1,,1,1,1,70,50,70,80,82,71,71,81,81,81,71,71,71,80,81,71,71,80,81,81,80,30,81,91,30,30,30,80,80,91,91,81,75,81,81,80,80,91,81,86,60,40,61,81,60,61,80,81,61,81,91,100,81,80,71,81,91,91,70,80,1,9,33,74,1,38,,,,
R_4SdxTPBrfxg4Crj,Default Response Set,,,,,0,5/14/2014 10:54,5/14/2014 12:53,1,Scientists,,1,1,,1,1,1,25,11,39,77,41,78,39,81,86,82,60,19,29,76,50,80,19,66,76,86,68,53,76,63,50,47,74,58,63,74,80,19,34,65,38,56,74,66,64,80,50,9,19,54,42,76,39,73,80,73,82,85,71,49,75,80,87,40,39,74,1,142,63,90,1,39,,,,
R_bjUcz5bYVCTXzY9,Default Response Set,,,,,0,5/14/2014 12:48,5/14/2014 12:54,1,Scientists,,1,1,,1,1,1,4,2,52,90,71,0,49,70,3,81,60,9,49,90,49,10,19,81,29,91,19,10,70,60,4,8,9,38,29,49,91,91,70,91,60,29,70,70,9,91,10,10,19,81,40,70,19,81,1,81,91,91,91,60,50,40,49,70,40,70,1,169,56,83,1,42,,,,
R_8GMuwmlLHHP4Te5,Default Response Set,,,,,0,5/14/2014 10:02,5/14/2014 12:55,1,Scientists,,1,1,,1,1,1,62,14,28,88,78,0,72,61,38,87,58,30,41,87,78,20,92,80,52,69,71,16,46,70,71,13,69,54,14,80,87,56,45,97,76,29,87,87,41,94,86,48,52,87,74,20,82,64,57,100,81,90,97,93,64,55,100,86,66,100,1,9,28,54,1,39,,,,
R_dngOJ1Bza7ylzp3,Default Response Set,,,,,0,5/14/2014 12:49,5/14/2014 12:58,1,Scientists,,1,1,,1,1,1,70,81,80,92,91,70,100,100,91,91,70,70,92,71,70,70,91,100,91,100,50,70,81,60,50,81,70,70,91,91,60,70,60,80,50,50,70,70,91,91,50,80,91,50,80,30,50,100,71,91,10,0,71,9,9,91,81,9,29,30,1,24,55,83,1,38,,,,
R_4Jjq0rxulodc0PH,Default Response Set,,,,,0,5/14/2014 12:52,5/14/2014 13:02,1,Scientists,,1,1,,1,1,1,0,9,33,13,100,0,100,53,69,87,0,4,33,63,53,0,79,48,70,91,29,92,90,17,0,0,21,49,82,100,14,0,79,85,11,39,78,21,72,100,0,0,4,100,100,53,0,100,11,100,99,77,49,53,18,0,100,60,21,72,1,187,44,67,1,42,,,,
R_e5OQwGmsecwu7RP,Default Response Set,,,,,0,5/14/2014 13:02,5/14/2014 13:11,1,Scientists,,1,1,,1,1,1,14,9,52,93,97,97,86,92,94,83,45,12,93,91,92,97,77,94,93,89,14,10,61,80,57,95,60,94,74,65,55,55,71,82,83,78,79,76,70,91,10,7,91,87,96,95,81,96,95,81,100,84,72,34,5,4,9,3,6,95,1,187,24,51,1,39,,,,
R_dgJPezL6iuLbC9n,Default Response Set,,,,,0,5/14/2014 13:11,5/14/2014 13:18,1,Scientists,,1,1,,2,,1,76,50,68,77,90,51,53,89,71,90,65,53,53,65,89,27,74,71,80,96,73,59,91,51,55,54,63,88,89,56,65,70,74,88,59,59,56,81,81,93,50,50,68,59,89,67,33,91,50,75,89,90,84,93,69,94,91,62,62,96,1,122,65,96,1,41,,,,
R_3Xn2BbVBXWPm7U9,Default Response Set,,,,,0,5/14/2014 13:05,5/14/2014 13:19,1,Scientists,,1,1,,1,1,1,29,4,71,76,50,90,44,50,91,70,39,9,70,70,59,18,70,50,36,60,42,27,64,63,49,14,56,49,88,85,91,34,76,80,70,49,63,95,94,76,45,3,50,82,50,49,60,70,49,65,60,89,71,40,50,49,70,40,50,39,1,126,58,92,1,42,,,,
R_e3yYkX2kh2jMQjr,Default Response Set,,,,,0,5/14/2014 13:54,5/14/2014 13:57,1,Scientists,Screened_out,1,1,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_0AtsE4WfXcuAXQN,Default Response Set,,,,,0,5/14/2014 14:05,5/14/2014 14:13,1,Scientists,,1,1,,1,1,1,9,0,29,60,49,0,50,91,30,72,40,40,19,70,50,30,81,71,20,81,0,30,50,9,29,0,29,50,81,100,0,0,0,0,38,0,0,40,19,100,40,0,20,61,19,0,30,81,9,30,29,91,81,19,20,0,10,0,0,60,1,188,42,76,1,38,,,,
R_afPUu824qgLKlN3,Default Response Set,,,,,0,5/14/2014 14:12,5/14/2014 14:20,1,Scientists,,1,1,,1,1,1,7,22,20,82,72,54,52,97,55,86,60,10,19,90,87,69,32,93,50,90,40,24,57,74,54,37,29,92,77,96,70,40,50,83,61,52,61,88,56,96,7,5,47,90,72,71,81,96,54,94,87,90,75,73,39,91,85,27,71,94,1,83,26,56,1,38,,,,
R_230ReqEIu5U9AeF,Default Response Set,,,,,0,5/14/2014 14:53,5/14/2014 15:03,1,Scientists,,1,1,,1,1,1,39,4,80,80,65,60,40,80,75,65,54,19,66,86,76,50,60,86,90,81,50,9,70,65,60,39,60,70,70,65,70,39,70,81,70,50,65,91,75,92,65,29,81,81,75,65,66,81,81,75,91,91,86,65,40,30,40,40,40,80,1,31,49,84,2,38,,,,
R_0MnoyIp0Epdiyr3,Default Response Set,,,,,0,5/14/2014 14:59,5/14/2014 15:05,1,Scientists,,1,1,,1,1,1,50,50,69,70,61,70,70,70,70,80,70,70,70,80,70,70,71,71,71,80,70,49,81,77,60,59,50,69,70,81,74,50,71,83,70,65,70,69,69,83,71,70,70,70,70,70,71,70,70,71,81,80,70,71,68,79,69,69,69,69,1,187,42,77,1,39,,,,
R_0xPZZi2tVlyVN41,Default Response Set,,,,,0,5/14/2014 15:24,5/14/2014 15:26,1,Scientists,Screened_out,1,1,,1,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_3UV7CZfmCyT2GwJ,Default Response Set,,,,,0,5/14/2014 15:30,5/14/2014 15:45,1,Scientists,,1,1,,1,1,1,60,4,9,60,40,60,10,50,20,50,50,19,29,81,60,91,71,50,50,96,29,30,50,19,40,9,50,19,80,60,29,9,19,40,20,40,40,19,40,50,9,4,9,30,19,60,6,9,19,40,81,91,96,71,29,91,70,30,50,71,1,84,53,91,2,44,,,,
R_bsx85EOFvay8mcl,Default Response Set,,,,,0,5/14/2014 16:11,5/14/2014 16:18,1,Scientists,,1,1,,1,1,1,54,14,60,97,88,85,77,91,96,96,36,30,38,86,86,30,71,48,64,93,18,58,78,35,18,14,27,28,44,65,64,65,58,93,49,34,81,55,56,94,20,2,71,91,79,92,26,76,31,90,86,86,81,100,24,52,100,51,45,75,1,37,50,82,1,39,,,,
R_bdZn6Hd7HBMwb9X,Default Response Set,,,,,0,5/14/2014 15:45,5/14/2014 16:29,1,Scientists,,1,1,,1,1,1,59,42,64,47,24,30,62,57,82,73,91,80,90,57,84,43,98,88,61,75,30,10,40,70,49,41,50,40,71,100,40,19,30,32,21,23,41,50,61,81,78,83,80,81,82,84,79,81,83,87,79,79,80,90,68,60,70,89,82,88,1,143,35,69,2,44,,,,
R_exNG7oJ1Hi8TFbv,Default Response Set,,,,,0,5/14/2014 16:29,5/14/2014 16:42,1,Scientists,,1,1,,1,1,1,2,1,2,6,5,5,1,3,7,8,3,1,8,7,7,6,3,6,7,8,3,1,9,9,9,7,9,6,7,6,7,3,7,7,6,7,7,7,10,8,4,1,3,8,2,8,1,2,6,8,9,10,9,9,7,7,9,7,8,9,1,,,,1,39,,,,
