V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,Respondent_Group,Screening,Condition,Intro,Consent,Reason_NC,CheckPhD,CheckGroup,Intro_S,Q1_S_Ob,Q2_S_Ob,Q3_S_Ob,Q4_S,Q5_S_Ra,Q6_S_Ra,Q7_S_Op,Q8_S_Op,Q9_S_Op,Q10_S_IQ,Q11_S_IQ,Q12_S_IQ,Q13_S_In,Q14_S_In,Q15_S_In,Q16_S_Co,Q17_S_Co,Q18_S_Co,Intro_H,Q1_H_Ob,Q2_H_Ob,Q3_H_Ob,Q4_H_Ra,Q5_H_Ra,Q6_H_Ra,Q7_H_Op,Q8_H_Op,Q9_H_Op,Q10_H_IQ,Q11_H_IQ,Q12_H_IQ,Q13_H_In,Q14_H_In,Q15_H_In,Q16_H_Co,Q17_H_Co,Q18_H_Co,Intro_dem,Dem_countr,Dem_y_born,Dem_yr_PhD,Dem_gender,Dem_relig,Feedback,DO-BR-FL_13,DO-BL-Scientists,DO-BL-Highly_educated_people,LocationLatitude,LocationLongitude,LocationAccuracy
R_3sGqaExwMNC0HOJ,Default Response Set,,,,,0,5/14/2014 10:11,5/14/2014 10:14,1,Scientists,,Scientists_Scientists,1,1,,1,1,1,5,5,3,5,6,6,5,5,5,3,3,4,5,5,4,5,4,5,,,,,,,,,,,,,,,,,,,,1,82,51,80,1,43,,,,,,,
R_enbeMvvBVgldzZX,Default Response Set,,,,,0,5/14/2014 10:05,5/14/2014 10:14,1,Scientists,,Scientists_Educated,1,1,,1,1,,,,,,,,,,,,,,,,,,,,1,4,5,4,4,5,5,5,4,5,5,5,4,5,4,5,3,3,2,1,80,49,83,1,40,,,,,,,
R_80uNkyXMH9p3vYp,Default Response Set,,,,,0,5/14/2014 10:14,5/14/2014 10:16,1,Scientists,Screened_out,,1,1,,1,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_8eum2S9mIL8Nbkp,Default Response Set,,,,,0,5/14/2014 10:14,5/14/2014 10:17,1,Scientists,,Scientists_Scientists,1,1,,1,1,1,6,3,5,5,6,5,4,5,6,4,3,3,6,3,4,5,3,2,,,,,,,,,,,,,,,,,,,,1,65,52,84,1,42,,,,,,,
R_7QbYaZbjISuK9EN,Default Response Set,,,,,0,5/14/2014 10:11,5/14/2014 10:18,1,Scientists,,Scientists_Scientists,1,1,,1,1,1,5,3,5,4,1,4,5,5,5,1,1,1,5,7,7,4,3,1,,,,,,,,,,,,,,,,,,,,1,168,36,81,2,38,,,,,,,
R_6XMNcVMSu2zXVMp,Default Response Set,,,,,0,5/14/2014 10:10,5/14/2014 10:19,1,Scientists,,Scientists_Educated,1,1,,1,1,,,,,,,,,,,,,,,,,,,,1,3,5,3,5,6,6,5,6,5,5,5,5,6,5,3,5,3,5,1,61,57,90,2,42,,,,,,,
R_9pD20Qxp9ZLy68J,Default Response Set,,,,,0,5/14/2014 10:13,5/14/2014 10:20,1,Scientists,,Scientists_Educated,1,1,,1,2,,,,,,,,,,,,,,,,,,,,1,5,4,4,5,6,4,6,5,2,5,5,4,6,6,6,5,6,4,1,86,29,58,1,39,,,,,,,
R_6orqqFS6rn4gMV7,Default Response Set,,,,,0,5/14/2014 10:16,5/14/2014 10:21,1,Scientists,,Scientists_Scientists,1,1,,1,1,1,2,2,1,3,5,5,3,2,3,3,2,2,5,2,4,2,2,2,,,,,,,,,,,,,,,,,,,,1,83,50,77,1,38,,,,,,,
R_9nUFk9rsW5Wm0Tj,Default Response Set,,,,,0,5/14/2014 10:12,5/14/2014 10:21,1,Scientists,,Scientists_Educated,1,1,,1,1,,,,,,,,,,,,,,,,,,,,1,2,2,2,5,5,5,2,4,2,2,5,5,1,1,2,2,2,2,1,84,53,89,2,43,,,,,,,
R_1AdzruVK9LfQbOZ,Default Response Set,,,,,0,5/14/2014 10:18,5/14/2014 10:22,1,Scientists,,Scientists_Educated,1,1,,1,1,,,,,,,,,,,,,,,,,,,,1,3,3,2,5,2,3,3,3,3,5,3,2,4,2,3,2,2,3,1,156,53,86,1,42,,,,,,,
R_1Gnq0x4KPb2C1k9,Default Response Set,,,,,0,5/14/2014 10:18,5/14/2014 10:24,1,Scientists,,Scientists_Scientists,1,1,,2,,1,6,7,2,7,6,7,6,7,7,6,7,6,6,7,7,1,7,7,,,,,,,,,,,,,,,,,,,,1,78,68,95,1,43,,,,,,,
R_bEkXMrQEXiblSZf,Default Response Set,,,,,0,5/14/2014 10:19,5/14/2014 10:24,1,Scientists,,Scientists_Scientists,1,1,,1,6,1,6,6,5,7,6,6,6,6,6,3,3,5,6,6,6,5,5,5,,,,,,,,,,,,,,,,,,,,1,65,62,91,1,38,,,,,,,
R_af8Ueb9bsxKyHT7,Default Response Set,,,,,0,5/14/2014 10:21,5/14/2014 10:25,1,Scientists,,Scientists_Educated,1,1,,1,1,,,,,,,,,,,,,,,,,,,,1,3,4,2,6,7,6,3,5,5,2,6,5,4,4,3,1,4,5,1,61,59,85,2,38,,,,,,,
R_4SgKoOmrl4H5mFD,Default Response Set,,,,,0,5/14/2014 10:21,5/14/2014 10:25,1,Scientists,,Scientists_Scientists,1,1,,2,,1,2,2,5,5,4,3,3,4,4,7,1,2,2,1,4,2,3,1,,,,,,,,,,,,,,,,,,,,1,122,65,101,1,38,,,,,,,
R_9Y0Hq2Jwqq366Zn,Default Response Set,,,,,0,5/14/2014 10:23,5/14/2014 10:26,1,Scientists,,Scientists_Scientists,1,1,,1,1,1,4,5,4,6,7,7,5,4,5,4,5,5,6,4,4,2,2,3,,,,,,,,,,,,,,,,,,,,1,185,54,79,1,40,,,,,,,
R_6sqNnxgS3dgEd8N,Default Response Set,,,,,0,5/14/2014 10:20,5/14/2014 10:26,1,Scientists,,Scientists_Educated,1,1,,1,1,,,,,,,,,,,,,,,,,,,,1,5,4,5,4,5,5,3,5,5,3,3,3,5,3,4,3,3,4,1,163,63,94,1,38,,,,,,,
R_ac7rVvGkn5GjoQl,Default Response Set,,,,,0,5/14/2014 10:18,5/14/2014 10:26,1,Scientists,,Scientists_Educated,1,1,,1,1,,,,,,,,,,,,,,,,,,,,1,4,5,2,6,6,6,3,5,5,3,3,5,5,3,5,6,6,2,1,36,65,92,1,40,,,,,,,
R_8iiskVXEhgWqIHb,Default Response Set,,,,,0,5/14/2014 10:17,5/14/2014 10:26,1,Scientists,,Scientists_Educated,1,1,,1,1,,,,,,,,,,,,,,,,,,,,1,4,4,4,6,4,4,4,4,4,3,2,4,4,3,3,4,3,4,1,48,61,92,1,39,,,,,,,
R_bHm29TEozvWpFZj,Default Response Set,,,,,0,5/14/2014 10:09,5/14/2014 10:26,1,Scientists,,Scientists_Educated,1,1,,1,1,,,,,,,,,,,,,,,,,,,,1,5,5,4,5,7,6,5,4,4,5,5,5,3,3,2,3,4,2,1,86,53,81,1,39,,,,,,,
R_0jKjAeAEwTuS0N7,Default Response Set,,,,,0,5/14/2014 10:19,5/14/2014 10:28,1,Scientists,,Scientists_Scientists,1,1,,1,1,1,6,6,6,6,6,6,3,6,6,2,6,5,7,6,7,2,6,1,,,,,,,,,,,,,,,,,,,,1,36,45,86,1,43,,,,,,,
R_1Y6Fll4IiMdOGjP,Default Response Set,,,,,0,5/14/2014 10:24,5/14/2014 10:29,1,Scientists,,Scientists_Scientists,1,1,,2,,1,7,7,5,5,6,6,6,7,7,3,5,5,7,6,7,7,6,3,,,,,,,,,,,,,,,,,,,,1,153,64,95,1,43,,,,,,,
R_aV6mS09D9N1Fr9P,Default Response Set,,,,,0,5/14/2014 10:21,5/14/2014 10:29,1,Scientists,,Scientists_Educated,1,1,,1,1,,,,,,,,,,,,,,,,,,,,1,6,5,5,5,6,5,3,5,5,4,2,3,3,2,2,6,2,1,1,163,36,66,1,42,,,,,,,
R_befbJvO7rZ7bk8Z,Default Response Set,,,,,0,5/14/2014 10:19,5/14/2014 10:30,1,Scientists,,Scientists_Educated,1,1,,1,1,,,,,,,,,,,,,,,,,,,,1,6,6,3,6,5,6,5,5,6,3,6,4,6,5,6,5,5,3,1,17,29,60,1,39,,,,,,,
R_0rLr819D7WnLSCN,Default Response Set,,,,,0,5/14/2014 10:26,5/14/2014 10:32,1,Scientists,,Scientists_Educated,1,1,,1,1,,,,,,,,,,,,,,,,,,,,1,5,4,5,5,5,5,6,6,5,6,5,4,5,4,4,4,6,4,1,78,41,72,1,43,,,,,,,
R_0GH5greB9Div7Fz,Default Response Set,,,,,0,5/14/2014 10:33,5/14/2014 10:37,1,Scientists,,Scientists_Scientists,1,1,,1,1,1,5,6,4,5,5,6,3,4,6,2,2,2,6,6,6,3,6,5,,,,,,,,,,,,,,,,,,,,1,163,64,93,1,43,,,,,,,
R_3q7LFxb4u9AQCaN,Default Response Set,,,,,0,5/14/2014 10:33,5/14/2014 10:38,1,Scientists,,Scientists_Educated,1,1,,1,1,,,,,,,,,,,,,,,,,,,,1,2,2,2,5,3,6,3,3,3,5,3,6,4,5,5,5,2,3,1,42,59,89,1,43,,,,,,,
R_02r8Q0dlFsNerg9,Default Response Set,,,,,0,5/14/2014 10:38,5/14/2014 10:38,1,Scientists,Screened_out,,1,1,,1,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_23T8Ph8m35jrWMR,Default Response Set,,,,,0,5/14/2014 10:37,5/14/2014 10:42,1,Scientists,,Scientists_Scientists,1,1,,1,1,1,6,6,2,6,6,2,6,7,7,2,2,2,7,7,7,7,7,4,,,,,,,,,,,,,,,,,,,,1,122,36,68,1,38,,,,,,,
R_1LLbn9h5gg5E6LH,Default Response Set,,,,,0,5/14/2014 10:37,5/14/2014 10:43,1,Scientists,,Scientists_Educated,1,1,,1,1,,,,,,,,,,,,,,,,,,,,1,7,7,6,7,7,7,7,7,7,5,5,6,7,7,7,6,7,3,1,48,47,84,1,38,,,,,,,
R_9EpeJxfqo6dnPJH,Default Response Set,,,,,0,5/14/2014 10:26,5/14/2014 10:45,1,Scientists,,Scientists_Scientists,1,1,,1,1,1,5,4,5,5,5,5,2,5,5,2,4,3,5,3,4,4,4,3,,,,,,,,,,,,,,,,,,,,1,84,60,93,1,38,,,,,,,
R_abf7jWTtuWbfHLL,Default Response Set,,,,,0,5/14/2014 10:42,5/14/2014 10:47,1,Scientists,,Scientists_Scientists,1,1,,1,1,1,5,4,4,4,3,6,5,1,5,1,1,3,5,7,4,4,1,5,,,,,,,,,,,,,,,,,,,,1,158,65,94,1,43,,,,,,,
R_0cdjSRbkXeUn1id,Default Response Set,,,,,0,5/14/2014 10:44,5/14/2014 10:49,1,Scientists,,Scientists_Educated,1,1,,1,1,,,,,,,,,,,,,,,,,,,,1,6,5,6,5,1,6,6,6,6,3,1,2,7,5,4,6,6,3,1,36,63,93,1,39,,,,,,,
R_7PoovsrwfFZl79z,Default Response Set,,,,,0,5/14/2014 10:50,5/14/2014 10:54,1,Scientists,,Scientists_Scientists,1,1,,1,1,1,6,6,3,5,6,5,5,6,6,2,2,4,6,6,6,6,3,2,,,,,,,,,,,,,,,,,,,,1,185,57,81,2,38,,,,,,,
R_1IgDx5buBZYcC6F,Default Response Set,,,,,0,5/14/2014 10:47,5/14/2014 10:54,1,Scientists,,Scientists_Educated,1,1,,1,1,,,,,,,,,,,,,,,,,,,,1,6,6,6,6,6,6,6,6,6,3,4,5,6,2,4,5,3,2,1,84,63,94,1,38,,,,,,,
R_5d0UftByknzVEt7,Default Response Set,,,,,0,5/14/2014 11:00,5/14/2014 11:04,1,Scientists,,Scientists_Educated,1,1,,1,1,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,3,4,3,5,2,5,3,2,2,1,1,1,1,1,1,156,59,94,2,41,,,,,,,
R_d0TtVMiRURk3uMl,Default Response Set,,,,,0,5/14/2014 11:06,5/14/2014 11:07,1,Scientists,Screened_out,,1,1,,1,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_b9j16w2MfxHZNFr,Default Response Set,,,,,0,5/14/2014 10:53,5/14/2014 11:07,1,Scientists,,Scientists_Scientists,1,1,,1,1,1,5,6,4,6,7,6,3,6,2,6,2,6,6,7,7,6,4,4,,,,,,,,,,,,,,,,,,,,1,86,-99,-99,1,44,,,,,,,
R_e3u7GEhSDauiXel,Default Response Set,,,,,0,5/14/2014 10:57,5/14/2014 11:09,1,Scientists,,Scientists_Scientists,1,1,,1,1,1,5,2,2,6,6,6,6,5,5,2,3,-99,6,3,6,3,5,1,,,,,,,,,,,,,,,,,,,,1,163,44,83,1,44,,,,,,,
R_cHIUN3n72iKh9ch,Default Response Set,,,,,0,5/14/2014 11:07,5/14/2014 11:12,1,Scientists,,Scientists_Educated,1,1,,1,1,,,,,,,,,,,,,,,,,,,,1,5,4,4,6,5,5,5,6,6,5,4,3,5,3,2,5,4,2,1,60,53,82,1,38,,,,,,,
R_6L7HbU8wPcY82qx,Default Response Set,,,,,0,5/14/2014 11:02,5/14/2014 11:13,1,Scientists,,Scientists_Educated,1,1,,1,1,,,,,,,,,,,,,,,,,,,,1,3,3,4,6,6,5,3,3,2,3,5,5,2,2,2,2,3,2,1,162,54,83,1,38,,,,,,,
R_ershJWdHFdgXNK5,Default Response Set,,,,,0,5/14/2014 11:09,5/14/2014 11:13,1,Scientists,,Scientists_Scientists,1,1,,1,1,1,6,6,2,5,6,6,6,6,6,2,5,4,6,6,5,7,2,2,,,,,,,,,,,,,,,,,,,,1,163,43,72,1,40,,,,,,,
R_7QjPYXL9oE8lU8d,Default Response Set,,,,,0,5/14/2014 11:01,5/14/2014 11:17,1,Scientists,,Scientists_Scientists,1,1,,1,1,1,2,6,6,6,4,7,7,7,7,1,4,4,7,7,7,7,7,1,,,,,,,,,,,,,,,,,,,,1,126,52,83,1,44,,,,,,,
R_eVU7v1Jb9vUdrfL,Default Response Set,,,,,0,5/14/2014 10:48,5/14/2014 11:17,1,Scientists,,Scientists_Educated,1,1,,1,1,,,,,,,,,,,,,,,,,,,,1,5,2,2,5,5,3,3,3,3,3,4,4,2,2,2,2,2,1,1,61,45,73,1,38,,,,,,,
R_2ldzabdsAjGiIZf,Default Response Set,,,,,0,5/14/2014 11:21,5/14/2014 11:25,1,Scientists,Screened_out,,1,1,,1,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_6rLPohSc94Dl8Y5,Default Response Set,,,,,0,5/14/2014 11:16,5/14/2014 11:26,1,Scientists,,Scientists_Scientists,1,1,,1,1,1,6,7,2,7,7,7,6,5,3,6,7,7,7,7,7,3,6,6,,,,,,,,,,,,,,,,,,,,1,36,50,83,1,41,,,,,,,
R_3CqmzaEBeJNEtaB,Default Response Set,,,,,0,5/14/2014 11:17,5/14/2014 11:28,1,Scientists,,Scientists_Educated,1,1,,1,1,,,,,,,,,,,,,,,,,,,,1,3,5,2,5,6,7,5,6,6,5,5,5,6,3,3,6,4,1,1,31,44,73,2,39,,,,,,,
R_5ptEkVjRCiX4tqB,Default Response Set,,,,,0,5/14/2014 11:34,5/14/2014 11:38,1,Scientists,,Scientists_Scientists,1,1,,1,1,1,6,6,2,6,6,6,6,6,6,5,5,6,6,6,7,3,5,5,,,,,,,,,,,,,,,,,,,,1,17,39,70,2,40,,,,,,,
R_0Ajv56crLr957fL,Default Response Set,,,,,0,5/14/2014 11:43,5/14/2014 11:45,1,Scientists,Screened_out,,1,1,,1,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_aVMExYeJDtuiNal,Default Response Set,,,,,0,5/14/2014 11:43,5/14/2014 11:47,1,Scientists,,Scientists_Educated,1,1,,1,1,,,,,,,,,,,,,,,,,,,,1,3,3,3,5,6,5,5,5,6,5,5,4,4,3,4,4,4,2,1,17,53,85,2,42,,,,,,,
R_6D3sKyQbzA80Utf,Default Response Set,,,,,0,5/14/2014 11:43,5/14/2014 11:48,1,Scientists,,Scientists_Educated,1,1,,1,1,,,,,,,,,,,,,,,,,,,,1,3,2,2,3,3,5,2,3,2,2,3,2,3,2,2,2,3,2,1,84,53,84,1,43,,,,,,,
R_9oACYeP0jFMx3HD,Default Response Set,,,,,0,5/14/2014 11:44,5/14/2014 11:49,1,Scientists,,Scientists_Scientists,1,1,,1,1,1,6,6,5,6,7,6,5,6,6,5,6,5,6,5,5,4,4,5,,,,,,,,,,,,,,,,,,,,1,172,49,77,1,38,,,,,,,
R_bPEO66CJfQnXhrf,Default Response Set,,,,,0,5/14/2014 11:44,5/14/2014 11:49,1,Scientists,,Scientists_Scientists,1,1,,1,1,1,3,4,4,5,5,5,5,5,4,4,2,4,4,4,4,3,3,2,,,,,,,,,,,,,,,,,,,,1,31,63,93,1,38,,,,,,,
R_cwORUzdgqLWg3e5,Default Response Set,,,,,0,5/14/2014 11:55,5/14/2014 11:59,1,Scientists,,Scientists_Educated,1,1,,1,1,,,,,,,,,,,,,,,,,,,,1,5,5,4,5,7,7,5,5,5,6,6,6,6,6,5,5,5,4,1,137,39,65,1,38,,,,,,,
R_6xvCjBlCboxa9iR,Default Response Set,,,,,0,5/14/2014 12:21,5/14/2014 12:23,1,Scientists,Screened_out,,1,1,,1,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_eXRltefxd5WFwhv,Default Response Set,,,,,0,5/14/2014 12:40,5/14/2014 12:45,1,Scientists,,Scientists_Scientists,1,1,,1,1,1,5,3,5,6,6,6,3,5,5,3,2,2,6,4,6,3,3,2,,,,,,,,,,,,,,,,,,,,1,163,45,73,1,38,,,,,,,
R_3elulxaQ6pkfirX,Default Response Set,,,,,0,5/14/2014 12:43,5/14/2014 12:51,1,Scientists,,Scientists_Educated,1,1,,1,1,,,,,,,,,,,,,,,,,,,,1,3,3,3,3,3,3,3,2,2,4,5,3,3,3,3,3,3,2,1,86,49,83,1,43,,,,,,,
R_1HTDHPwNmCr2Mzr,Default Response Set,,,,,0,5/14/2014 12:33,5/14/2014 12:53,1,Scientists,,Scientists_Educated,1,1,,1,1,,,,,,,,,,,,,,,,,,,,1,7,7,7,7,7,7,7,7,7,7,7,7,7,7,6,7,7,1,1,23,46,83,1,41,,,,,,,
R_bkqZaWEnKBq3GaV,Default Response Set,,,,,0,5/14/2014 12:49,5/14/2014 12:54,1,Scientists,,Scientists_Scientists,1,1,,1,1,1,4,7,6,6,5,6,7,7,7,2,4,2,7,7,7,5,6,4,,,,,,,,,,,,,,,,,,,,1,61,50,76,1,-99,,,,,,,
R_eIMuGTbNFnpxNNH,Default Response Set,,,,,0,5/14/2014 12:54,5/14/2014 13:00,1,Scientists,,Scientists_Scientists,1,1,,1,1,1,5,4,5,5,6,6,5,6,6,4,4,5,5,5,6,5,4,3,,,,,,,,,,,,,,,,,,,,1,65,61,93,1,38,,,,,,,
R_556t4thhcvWjzNz,Default Response Set,,,,,0,5/14/2014 13:01,5/14/2014 13:02,1,Scientists,Screened_out,,1,1,,1,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_d5z8M4HKhWCYEBv,Default Response Set,,,,,0,5/14/2014 12:59,5/14/2014 13:11,1,Scientists,,Scientists_Educated,1,1,,1,1,,,,,,,,,,,,,,,,,,,,1,6,6,4,5,7,7,6,6,6,4,4,4,5,6,6,6,5,4,1,84,53,87,1,41,,,,,,,
R_8kOHkqlGhtKXcyx,Default Response Set,,,,,0,5/14/2014 13:08,5/14/2014 13:14,1,Scientists,,Scientists_Scientists,1,1,,1,1,1,2,4,2,5,5,6,4,5,6,4,4,6,5,3,3,4,5,2,,,,,,,,,,,,,,,,,,,,1,122,42,74,1,39,,,,,,,
R_dgVeHc9O9E0UEtf,Default Response Set,,,,,0,5/14/2014 10:09,5/14/2014 13:18,1,Scientists,,Scientists_Educated,1,1,,1,1,,,,,,,,,,,,,,,,,,,,1,6,5,5,5,7,6,6,6,6,4,5,4,6,6,3,4,3,5,1,179,53,91,2,40,,,,,,,
R_cZVukXC3YCUQPIx,Default Response Set,,,,,0,5/14/2014 13:16,5/14/2014 13:22,1,Scientists,,Scientists_Scientists,1,1,,1,1,1,3,2,3,5,3,5,3,5,5,6,5,6,5,4,4,3,3,1,,,,,,,,,,,,,,,,,,,,1,122,48,79,1,38,,,,,,,
R_55UGMAahEDV9X1z,Default Response Set,,,,,0,5/14/2014 13:30,5/14/2014 13:36,1,Scientists,,Scientists_Educated,1,1,,1,1,,,,,,,,,,,,,,,,,,,,1,4,5,3,5,5,5,5,4,4,5,3,1,4,5,4,4,5,4,1,187,48,77,1,39,,,,,,,
