V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,Respondent_Group,Screening,Intro,Consent,Reason_NC,CheckGroup,Intro_S,Q1_S_Ob,Q2_S_Ob,Q3_S_Ob,Q4_S,Q5_S_Ra,Q6_S_Ra,Q7_S_Op,Q8_S_Op,Q9_S_Op,Q10_S_IQ,Q11_S_IQ,Q12_S_IQ,Q13_S_In,Q14_S_In,Q15_S_In,Q16_S_Co,Q17_S_Co,Q18_S_Co,Intro_dem,Dem_countr,Dem_y_born,Dem_gender,Dem_occup,Dem_occup_TEXT,Dem_relig,Feedback,DO-BL-Scientists,DO-BL-Highly_educated_people,LocationLatitude,LocationLongitude,LocationAccuracy
R_2rjQaHcNYCEuxi5,Default Response Set,,,,,0,5/14/2014 14:39,5/14/2014 14:49,1,Scientists,,1,1,,1,1,6,6,4,4,5,5,6,6,6,6,6,5,6,6,6,6,5,1,1,184,7,1,6,,41,,,,,,
R_0U6711xKt2j2c3H,Default Response Set,,,,,0,5/14/2014 15:06,5/14/2014 15:12,1,Scientists,,1,1,,1,1,6,6,4,6,6,6,6,6,6,2,4,5,6,6,6,3,3,2,1,61,-99,1,6,,38,,,,,,
R_djs9WEAmiuMMGSV,Default Response Set,,,,,0,5/14/2014 15:09,5/14/2014 15:13,1,Scientists,,1,1,,1,1,5,5,4,5,5,5,5,5,5,4,5,5,5,5,5,5,3,3,1,187,23,1,7,economist,38,,,,,,
R_cSnw7nwnZ6b6aTX,Default Response Set,,,,,0,5/14/2014 15:21,5/14/2014 15:24,1,Scientists,,1,1,,1,1,4,5,5,7,5,7,5,6,6,3,3,6,6,6,7,6,6,2,1,187,50,1,6,,39,,,,,,
R_cNmNpxbcU8hsvTT,Default Response Set,,,,,0,5/14/2014 15:23,5/14/2014 15:31,1,Scientists,,1,1,,1,1,3,5,3,7,5,4,5,6,5,2,5,5,6,5,6,5,4,2,1,9,48,1,6,,38,,,,,,
R_ePUpIVvyhJpzaAZ,Default Response Set,,,,,0,5/14/2014 15:37,5/14/2014 15:47,1,Scientists,,1,1,,1,1,5,5,1,6,5,6,3,6,7,5,6,5,5,5,6,3,4,2,1,187,28,1,6,,38,,,,,,
R_ac80eu9Er4Xo9oh,Default Response Set,,,,,0,5/14/2014 16:42,5/14/2014 16:45,1,Scientists,,1,1,,1,1,6,5,2,4,6,6,7,6,6,1,4,5,6,6,6,3,5,2,1,187,36,1,6,,41,,,,,,
R_eJ3zt3MFYscxnWl,Default Response Set,,,,,0,5/14/2014 16:50,5/14/2014 16:58,1,Scientists,,1,1,,1,1,5,5,2,5,5,5,5,6,5,5,6,5,6,6,7,6,3,1,1,187,4,1,6,,38,,,,,,
R_50TNef7EZAcuauV,Default Response Set,,,,,0,5/14/2014 16:59,5/14/2014 17:02,1,Scientists,,1,1,,1,1,6,5,1,5,6,5,7,7,7,5,7,5,7,7,7,7,5,2,1,187,27,1,7,economist,39,,,,,,
R_8HQ2epzE8Hh5qKx,Default Response Set,,,,,0,5/14/2014 17:15,5/14/2014 17:19,1,Scientists,,1,1,,1,1,5,5,5,5,5,5,6,6,6,3,4,5,6,6,6,6,5,2,1,187,-99,1,6,,41,,,,,,
R_3IWZsQIHhwCZ5Vr,Default Response Set,,,,,0,5/14/2014 17:51,5/14/2014 18:02,1,Scientists,,1,1,,1,1,6,6,6,6,6,6,6,6,6,4,4,4,6,7,7,6,6,3,1,187,5,1,7,retired,38,,,,,,
R_0p37bGU9gXTaRpj,Default Response Set,,,,,0,5/14/2014 18:19,5/14/2014 18:24,1,Scientists,,1,1,,1,1,6,5,5,6,6,6,6,6,6,3,5,5,6,6,6,5,4,5,1,187,24,1,6,,38,,,,,,
R_9YSubw0UVzvNwmp,Default Response Set,,,,,0,5/14/2014 19:25,5/14/2014 19:29,1,Scientists,,1,1,,1,1,7,6,6,5,7,7,4,7,6,5,2,4,7,7,7,7,1,1,1,187,10,1,6,,38,,,,,,
R_8wedFwqrkQ4aOep,Default Response Set,,,,,0,5/14/2014 19:30,5/14/2014 19:35,1,Scientists,,1,1,,1,1,7,6,6,6,6,6,7,7,7,5,5,5,6,7,7,6,6,3,1,187,13,1,6,,38,,,,,,
R_0Pw3nkACTSO06VL,Default Response Set,,,,,0,5/14/2014 21:14,5/14/2014 21:20,1,Scientists,,1,1,,1,1,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,7,-99,-99,-99,1,-99,-99,-99,-99,,-99,,,,,,
R_cSdgCrWPDguxhEF,Default Response Set,,,,,0,5/14/2014 23:50,5/15/2014 0:00,1,Scientists,,1,1,,1,1,6,1,2,7,7,7,6,6,6,3,6,5,6,5,4,6,5,1,1,65,24,1,6,,40,,,,,,
R_dd2o3fzF8lOeyO1,Default Response Set,,,,,0,5/15/2014 3:06,5/15/2014 3:11,1,Scientists,,1,1,,1,1,6,6,6,6,7,6,6,6,7,4,4,4,6,6,6,6,6,5,1,185,20,1,6,,38,,,,,,
R_07EL1YJ4BrReIQJ,Default Response Set,,,,,0,5/15/2014 5:11,5/15/2014 5:16,1,Scientists,,1,1,,1,1,6,7,3,6,6,7,5,3,6,6,6,6,6,7,7,3,3,1,1,186,8,1,6,,38,,,,,,
R_2sZfZIzRI7wwUId,Default Response Set,,,,,0,5/16/2014 14:06,5/16/2014 14:13,1,Scientists,,1,1,,1,1,5,4,2,6,5,5,3,5,5,2,2,2,6,5,7,5,5,5,1,185,19,1,6,,39,,,,,,
R_6rpjnZFkNw2S7Pf,Default Response Set,,,,,0,5/16/2014 21:34,5/16/2014 21:38,1,Scientists,,1,1,,1,1,7,6,6,7,6,6,6,7,7,4,4,5,7,6,7,6,5,5,1,187,27,1,6,,41,,,,,,
R_e2NAFvdD2RpccyV,Default Response Set,,,,,0,5/19/2014 14:41,5/19/2014 14:47,1,Scientists,,1,1,,1,1,4,4,2,5,6,5,4,5,6,5,5,4,5,4,5,5,5,1,1,187,4,1,6,,38,,,,,,
R_em999xR0Dgz4fBP,Default Response Set,,,,,0,5/19/2014 17:25,5/19/2014 18:49,1,Scientists,,1,1,,1,1,6,6,6,7,6,7,5,6,6,5,6,5,7,5,3,6,5,3,1,187,-99,1,6,,38,,,,,,
R_elFmYpJVJSHihQV,Default Response Set,,,,,0,5/19/2014 18:58,5/19/2014 19:04,1,Scientists,,1,1,,1,1,5,5,5,5,5,6,6,6,6,4,5,5,5,6,6,6,5,2,1,187,2,1,6,,38,,,,,,
R_aeEiYkOLVxuHc3z,Default Response Set,,,,,0,5/22/2014 16:25,5/22/2014 17:01,1,Scientists,,1,1,,1,1,7,7,3,6,6,6,6,7,7,4,3,4,7,7,6,6,6,3,1,185,5,1,6,,43,,,,,,
R_8D5qK9ZLs1xBzKZ,Default Response Set,,,,,0,5/23/2014 19:33,5/23/2014 19:35,1,Scientists,,1,1,,1,1,5,6,2,6,6,6,6,6,6,5,5,6,7,6,7,5,5,2,1,187,28,1,6,,38,,,,,,
R_bgfkdkCUOQIOVO5,Default Response Set,,,,,0,5/24/2014 0:50,5/24/2014 0:57,1,Scientists,,1,1,,1,1,5,4,2,5,5,4,6,6,6,4,5,5,6,6,6,5,4,2,1,187,33,1,6,,38,,,,,,
R_bKqwQSwXEqnXxEF,Default Response Set,,,,,0,5/26/2014 18:58,5/26/2014 19:04,1,Scientists,,1,1,,1,1,5,3,2,5,5,6,6,6,6,5,4,4,5,3,5,3,3,3,1,61,19,1,6,,39,,,,,,
